{16797} -> {13176} (conf: 0.122, supp: 0.005, lift: 1.016, conv: 1.002)
{13176} -> {16797} (conf: 0.046, supp: 0.005, lift: 1.016, conv: 1.001)
{26209} -> {13176} (conf: 0.125, supp: 0.005, lift: 1.049, conv: 1.007)
{13176} -> {26209} (conf: 0.045, supp: 0.005, lift: 1.049, conv: 1.002)
{47209} -> {24852} (conf: 0.157, supp: 0.010, lift: 1.062, conv: 1.011)
{24852} -> {47209} (conf: 0.071, supp: 0.010, lift: 1.062, conv: 1.004)
{47766} -> {13176} (conf: 0.129, supp: 0.007, lift: 1.079, conv: 1.011)
{13176} -> {47766} (conf: 0.059, supp: 0.007, lift: 1.079, conv: 1.005)
{47626} -> {13176} (conf: 0.129, supp: 0.006, lift: 1.082, conv: 1.011)
{13176} -> {47626} (conf: 0.051, supp: 0.006, lift: 1.082, conv: 1.004)
{27966} -> {24852} (conf: 0.165, supp: 0.007, lift: 1.116, conv: 1.021)
{24852} -> {27966} (conf: 0.048, supp: 0.007, lift: 1.116, conv: 1.005)
{39275} -> {24852} (conf: 0.169, supp: 0.005, lift: 1.143, conv: 1.026)
{24852} -> {39275} (conf: 0.035, supp: 0.005, lift: 1.143, conv: 1.005)
{24964} -> {24852} (conf: 0.175, supp: 0.006, lift: 1.184, conv: 1.033)
{24852} -> {24964} (conf: 0.040, supp: 0.006, lift: 1.184, conv: 1.007)
{45007} -> {24852} (conf: 0.182, supp: 0.005, lift: 1.225, conv: 1.041)
{24852} -> {45007} (conf: 0.037, supp: 0.005, lift: 1.225, conv: 1.007)
{40706} -> {24852} (conf: 0.210, supp: 0.005, lift: 1.415, conv: 1.078)
{24852} -> {40706} (conf: 0.036, supp: 0.005, lift: 1.415, conv: 1.011)
{8277} -> {24852} (conf: 0.211, supp: 0.006, lift: 1.425, conv: 1.080)
{24852} -> {8277} (conf: 0.038, supp: 0.006, lift: 1.425, conv: 1.012)
{42265} -> {24852} (conf: 0.211, supp: 0.005, lift: 1.426, conv: 1.080)
{24852} -> {42265} (conf: 0.036, supp: 0.005, lift: 1.426, conv: 1.011)
{44632} -> {24852} (conf: 0.214, supp: 0.005, lift: 1.447, conv: 1.084)
{24852} -> {44632} (conf: 0.035, supp: 0.005, lift: 1.447, conv: 1.011)
{24852} -> {21137} (conf: 0.120, supp: 0.018, lift: 1.487, conv: 1.045)
{21137} -> {24852} (conf: 0.220, supp: 0.018, lift: 1.487, conv: 1.093)
{24852} -> {21903} (conf: 0.112, supp: 0.017, lift: 1.489, conv: 1.041)
