{24852} -> {21137} (conf: 0.118, supp: 0.017, lift: 1.428, conv: 1.040)
{21137} -> {24852} (conf: 0.210, supp: 0.017, lift: 1.428, conv: 1.080)
{24852} -> {21903} (conf: 0.108, supp: 0.016, lift: 1.439, conv: 1.037)
{21903} -> {24852} (conf: 0.212, supp: 0.016, lift: 1.439, conv: 1.082)
{21903} -> {13176} (conf: 0.208, supp: 0.016, lift: 1.760, conv: 1.113)
{13176} -> {21903} (conf: 0.132, supp: 0.016, lift: 1.760, conv: 1.066)
{47626} -> {24852} (conf: 0.268, supp: 0.013, lift: 1.818, conv: 1.164)
{24852} -> {47626} (conf: 0.087, supp: 0.013, lift: 1.818, conv: 1.043)
{21903} -> {21137} (conf: 0.157, supp: 0.012, lift: 1.904, conv: 1.089)
{21137} -> {21903} (conf: 0.143, supp: 0.012, lift: 1.904, conv: 1.079)
{24852} -> {16797} (conf: 0.088, supp: 0.013, lift: 1.969, conv: 1.047)
{16797} -> {24852} (conf: 0.290, supp: 0.013, lift: 1.969, conv: 1.201)
{21137} -> {13176} (conf: 0.235, supp: 0.019, lift: 1.992, conv: 1.153)
{13176} -> {21137} (conf: 0.165, supp: 0.019, lift: 1.992, conv: 1.098)
{47766} -> {24852} (conf: 0.301, supp: 0.017, lift: 2.046, conv: 1.220)
{24852} -> {47766} (conf: 0.112, supp: 0.017, lift: 2.046, conv: 1.065)
{47209} -> {21903} (conf: 0.162, supp: 0.011, lift: 2.162, conv: 1.104)
{21903} -> {47209} (conf: 0.143, supp: 0.011, lift: 2.162, conv: 1.089)
{47209} -> {21137} (conf: 0.191, supp: 0.013, lift: 2.315, conv: 1.134)
{21137} -> {47209} (conf: 0.153, supp: 0.013, lift: 2.315, conv: 1.102)
{47209} -> {13176} (conf: 0.292, supp: 0.019, lift: 2.474, conv: 1.246)
{13176} -> {47209} (conf: 0.163, supp: 0.019, lift: 2.474, conv: 1.116)
{27966} -> {13176} (conf: 0.296, supp: 0.013, lift: 2.511, conv: 1.253)
{13176} -> {27966} (conf: 0.106, supp: 0.013, lift: 2.511, conv: 1.072)
{28204} -> {24852} (conf: 0.378, supp: 0.010, lift: 2.567, conv: 1.371)
{24852} -> {28204} (conf: 0.071, supp: 0.010, lift: 2.567, conv: 1.047)
{27966} -> {21137} (conf: 0.250, supp: 0.011, lift: 3.024, conv: 1.223)
{21137} -> {27966} (conf: 0.128, supp: 0.011, lift: 3.024, conv: 1.098)
Time:  20.1687533
