,0,1
0,1486,Banana
1,1211,Bag of Organic Bananas
2,910,Organic Baby Spinach
3,891,Organic Strawberries
4,653,Organic Hass Avocado
5,580,Organic Avocado
6,511,Large Lemon
7,484,Strawberries
8,479,Limes
9,429,Organic Whole Milk
10,399,Organic Zucchini
11,397,Cucumber Kirby
12,388,Organic Garlic
13,379,Organic Blueberries
14,374,Organic Raspberries
15,372,Organic Yellow Onion
16,338,Organic Grape Tomatoes
17,326,Organic Lemon
18,297,Organic Red Onion
19,285,Organic Fuji Apple
20,280,Michigan Organic Kale
21,279,Seedless Red Grapes
22,279,Organic Tomato Cluster
23,277,Organic Baby Carrots
24,277,Organic Baby Arugula
25,275,Carrots
26,271,Yellow Onions
27,266,Organic Cucumber
28,265,Organic Cilantro
29,261,Honeycrisp Apple
30,252,Green Bell Pepper
31,250,Asparagus
32,244,Fresh Cauliflower
33,229,Red Vine Tomato
34,229,Apple Honeycrisp Organic
35,225,Organic Small Bunch Celery
36,224,Red Peppers
37,224,Organic Red Bell Pepper
38,224,Organic Blackberries
39,221,Organic Gala Apples
40,216,Organic Large Extra Fancy Fuji Apple
41,210,Organic Italian Parsley Bunch
42,210,Boneless Skinless Chicken Breasts
43,209,Original Hummus
44,205,Spring Water
45,203, Organic
46,203, Bunch
47,201,Organic Ginger Root
48,201,Blueberries
49,198,Small Hass Avocado
50,198,Clementines
51,193,Organic Kiwi
52,187,Organic Garnet Sweet Potato (Yam)
53,184,Organic Peeled Whole Baby Carrots
54,183,Organic Granny Smith Apple
55,183,Hass Avocados
56,182,Red Onion
57,180,Organic Navel Orange
58,176,Organic Unsweetened Almond Milk
59,175,Jalapeno Peppers
60,170,Raspberries
61,167,100% Whole Wheat Bread
62,166,Grape White/Green Seedless
63,165,Unsweetened Almondmilk
64,165,Sparkling Water Grapefruit
65,165,Half & Half
66,163,Roma Tomato
67,163,Broccoli Crown
68,162,Organic Half & Half
69,158, Bag
70,157,Organic Lacinato (Dinosaur) Kale
71,157,Extra Virgin Olive Oil
72,154,Organic Grade A Free Range Large Brown Eggs
73,153,Bunched Cilantro
74,152,Garlic
75,147,Organic D'Anjou Pears
76,146,Orange Bell Pepper
77,141,100% Raw Coconut Water
78,140,Sparkling Natural Mineral Water
79,137,Grated Parmesan
80,136,Organic Roma Tomato
81,136,Large Alfresco Eggs
82,136,Granny Smith Apples
83,134,Organic Whole String Cheese
84,133,Organic Spring Mix
85,130,Unsalted Butter
86,130,Organic Baby Broccoli
87,128,Pineapple Chunks
88,125,Organic Reduced Fat 2% Milk
89,124,Shredded Parmesan
90,124,Organic Extra Firm Tofu
91,122,Unsweetened Original Almond Breeze Almond Milk
92,120,Vanilla Almond Breeze Almond Milk
93,119,Russet Potato
94,119,Organic Carrot Bunch
95,115,Organic Broccoli
96,115,Feta Cheese Crumbles
97,115,2% Reduced Fat Milk
98,113,Organic Bartlett Pear
99,111,Uncured Genoa Salami
100,111,Organic Broccoli Florets
101,109,Sharp Cheddar Cheese
102,108,Whole Milk
103,108,Organic Red Radish
104,107,Milk
105,106,Organic Russet Potato
106,105,Organic Black Beans
107,105,100% Recycled Paper Towels
108,104,Organic Romaine Lettuce
109,104,Green Beans
110,104,Fresh Ginger Root
111,103,Romaine Hearts
112,103,Organic Green Cabbage
113,102,No Salt Added Black Beans
114,102,Bartlett Pears
115,100,Green Onions
116,100,Fat Free Milk
117,99,Red Raspberries
118,99,Brussels Sprouts
119,99,Baby Spinach
120,98,Pure Irish Butter
121,98,Organic Celery Hearts
122,97,Large Grapefruit
123,96,Organic Bell Pepper
124,95,Organic Baby Spinach Salad
125,94,Sweet Onion
126,94,Italian Sparkling Mineral Water
127,93,Whipped Cream Cheese
128,93,Total 0% Greek Yogurt
129,93,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
130,93,Organic Green Seedless Grapes
131,93,Organic Garbanzo Beans
132,93,Lime Sparkling Water
133,92,Yellow Bell Pepper
134,92,Organic Shredded Carrots
135,91,Organic Coconut Milk
136,90,Organic Heavy Whipping Cream
137,90,Organic Basil
138,89,Organic Whole Strawberries
139,88,Organic White Onions
140,87,Unsweetened Vanilla Almond Milk
141,87,Organic Reduced Fat Milk
142,87, Strawberry
143,85,Shredded Mild Cheddar Cheese
144,85,Organic Egg Whites
145,84,Blackberries
146,83,Watermelon Chunks
147,83,Organic Large Brown Grade AA Cage Free Eggs
148,83,Frozen Organic Wild Blueberries
149,82,Total 0% Nonfat Greek Yogurt
150,82,Organic Yams
151,82,Organic Green Leaf Lettuce
152,82,Honey Nut Cheerios
153,81,Organic Jalapeno Pepper
154,81,Organic Fat Free Milk
155,81,Electrolyte Enhanced Water
156,81,Cantaloupe
157,80,Total Greek Strained Yogurt
158,80,Orange Juice
159,79,Organic Romaine
160,79,Natural Spring Water
161,78,Uncured Hickory Smoked Sunday Bacon
162,78,Organic Hothouse Cucumbers
163,78,Ground Turkey Breast
164,77,Organic Roasted Turkey Breast
165,77,Organic Large Green Asparagus
166,76,Unsalted Pure Irish Butter
167,76,Organic Diced Tomatoes
168,76,Organic Baby Kale
169,75,Whole Milk Plain Yogurt
170,75,Sour Cream
171,75,Organic Sour Cream
172,75,Organic Bosc Pear
173,74,Sustainably Soft Bath Tissue
174,74,Mango Chunks
175,74,Bread
176,73,Yogurt
177,73,Organic Dill
178,73, Vitamin D
179,72,Pure Sparkling Water
180,72,Organic Snipped Green Beans
181,72,Organic Mint
182,72,Organic Frozen Peas
183,72,Boneless Skinless Chicken Breast
184,71,White Onion
185,71,Organic Old Fashioned Rolled Oats
186,71,Organic Banana
187,70,Soda
188,70,Hass Avocado
189,70,Asparation/Broccolini/Baby Broccoli
190,69,Spinach
191,69,Pure Coconut Water
192,69,Original No Pulp 100% Florida Orange Juice
193,69,Baby Cucumbers
194,68,Total 2% with Strawberry Lowfat Greek Strained Yogurt
195,68,Organic Yellow Peaches
196,68,Organic Grade A Large Brown Eggs
197,68,Lightly Salted Baked Snap Pea Crisps
198,68,Cherubs Heavenly Salad Tomatoes
199,67,Organic Whole Grassmilk Milk
200,67,Kale Greens
201,67,Ezekiel 4:9 Bread Organic Sprouted Whole Grain
202,66,Organic Large Grade AA Brown Eggs
203,66,Organic Butternut Squash
204,66,Natural Artesian Water
205,66,Lemonade
206,66,Frozen Broccoli Florets
207,65,Sinfully Sweet Campari Tomatoes
208,65,Black Beans
209,64,Salted Butter
210,64,Peach Pear Flavored Sparkling Water
211,64,Oven Roasted Turkey Breast
212,64,Original Orange Juice
213,64,Organic Tomato Paste
214,64,Organic Red Cabbage
215,64,Organic Raw Kombucha Gingerade
216,64,Organic Milk
217,64,Flat Parsley
218,63,Organic Thyme
219,63,Globe Eggplant
220,63,European Cucumber
221,62,Shredded Mozzarella
222,62,Organic Unsalted Butter
223,62,85% Lean Ground Beef
224,61,Total 2% All Natural Greek Strained Yogurt with Honey
225,61,Skim Milk
226,61,Organic Leek
227,60,Sugar Snap Peas
228,60,Organic Tomato Basil Pasta Sauce
229,60,Blood Oranges
230,59,White Corn
231,59,Vine Ripe Tomatoes
232,59,Organic Spring Mix Salad
233,59,Organic Ketchup
234,59,Basil Pesto
235,58,Total 0% Nonfat Plain Greek Yogurt
236,58,Packaged Grape Tomatoes
237,58,Organic Low Sodium Chicken Broth
238,58,Organic Baby Rainbow Carrots
239,58,Bing Cherries
240,57,Super Spinach! Baby Spinach
241,57,Seedless Cucumbers
242,57,Marinara Sauce
243,57,Gala Apples
244,57,Distilled Water
245,57, Sweet Baby Kale
246,57, Baby Bok Choy
247,56,Total 2% Lowfat Plain Greek Yogurt
248,56,Organic Turkey Bacon
249,56,Corn Tortillas
