,0,1
0,32390,Banana
1,23218,Bag of Organic Bananas
2,18681,Organic Baby Spinach
3,17745,Organic Strawberries
4,14151,Organic Hass Avocado
5,13184,Organic Avocado
6,11815,Large Lemon
7,10598,Limes
8,9513,Strawberries
9,9110,Organic Whole Milk
10,9009,Organic Yellow Onion
11,8876,Organic Raspberries
12,8533,Organic Garlic
13,8242,Organic Zucchini
14,6992,Cucumber Kirby
15,6544,Organic Grape Tomatoes
16,6541,Organic Blueberries
17,6338,Yellow Onions
18,5977,Apple Honeycrisp Organic
19,5877,Honeycrisp Apple
20,5816,Organic Lemon
21,5730,Organic Cucumber
22,5632,Carrots
23,5582,Organic Fuji Apple
24,5548,Seedless Red Grapes
25,5453,Fresh Cauliflower
26,5449,Organic Cilantro
27,5432,Organic Baby Carrots
28,5317,Asparagus
29,5316,Organic Baby Arugula
30,5147,Organic Red Onion
31,5057,Michigan Organic Kale
32,5030,Organic Gala Apples
33,4925,Organic Small Bunch Celery
34,4852,Original Hummus
35,4707, Organic
36,4623,Organic Large Extra Fancy Fuji Apple
37,4533,Boneless Skinless Chicken Breasts
38,4459,Organic Red Bell Pepper
39,4447,Red Peppers
40,4419,Organic Italian Parsley Bunch
41,4233,Sparkling Water Grapefruit
42,4221,Green Bell Pepper
43,4205,Organic Tomato Cluster
44,4201,100% Whole Wheat Bread
45,4166,Organic Garnet Sweet Potato (Yam)
46,4120,Organic Peeled Whole Baby Carrots
47,4116,Organic Half & Half
48,4041,Organic Whole String Cheese
49,4035,Organic Blackberries
50,4014,Red Vine Tomato
51,3947,Half & Half
52,3945,Raspberries
53,3830,Organic Unsweetened Almond Milk
54,3799,Organic Ginger Root
55,3729,Organic Granny Smith Apple
56,3659,Jalapeno Peppers
57,3651,Bunched Cilantro
58,3577,Broccoli Crown
59,3558,Grated Parmesan
60,3542,Blueberries
61,3404,Extra Virgin Olive Oil
62,3377,Small Hass Avocado
63,3326,Clementines
64,3309,Red Onion
65,3283,Organic D'Anjou Pears
66,3267, Bunch
67,3265,Organic Lacinato (Dinosaur) Kale
68,3201,Orange Bell Pepper
69,3100,Organic Kiwi
70,3018,Organic Black Beans
71,2993,Unsweetened Almondmilk
72,2951,Large Alfresco Eggs
73,2945,Spring Water
74,2922,Garlic
75,2895,Organic Broccoli
76,2876,Hass Avocados
77,2863,Organic Grade A Free Range Large Brown Eggs
78,2756, Bag
79,2715,Shredded Parmesan
80,2707,Roma Tomato
