,0,1
0,50918,Banana
1,37120,Bag of Organic Bananas
2,28701,Organic Baby Spinach
3,27682,Organic Strawberries
4,23129,Organic Hass Avocado
5,21545,Organic Avocado
6,18261,Large Lemon
7,16151,Limes
8,14194,Strawberries
9,13974,Organic Yellow Onion
10,13442,Organic Garlic
11,13421,Organic Raspberries
12,12877,Organic Whole Milk
13,12565,Organic Zucchini
14,11591,Cucumber Kirby
15,10454,Organic Grape Tomatoes
16,9770,Organic Blueberries
17,9587,Yellow Onions
18,9550,Organic Lemon
19,9173,Organic Cucumber
20,8973,Honeycrisp Apple
21,8919,Apple Honeycrisp Organic
22,8709,Organic Fuji Apple
23,8662,Organic Baby Arugula
24,8578,Asparagus
25,8424,Michigan Organic Kale
26,8382,Carrots
27,8283,Seedless Red Grapes
28,8199,Fresh Cauliflower
29,8056,Organic Baby Carrots
30,7914,Organic Cilantro
31,7813,Organic Red Onion
32,7743, Organic
33,7605,Organic Small Bunch Celery
34,7605,Organic Gala Apples
35,7585,Original Hummus
36,7527,Sparkling Water Grapefruit
37,7511,Organic Large Extra Fancy Fuji Apple
38,7239,Red Peppers
39,6997,Organic Tomato Cluster
40,6906,Boneless Skinless Chicken Breasts
41,6853,Organic Red Bell Pepper
42,6693,Green Bell Pepper
43,6691,Organic Peeled Whole Baby Carrots
44,6691,100% Whole Wheat Bread
45,6643,Organic Italian Parsley Bunch
46,6535,Organic Whole String Cheese
47,6425,Organic Garnet Sweet Potato (Yam)
48,6249,Red Vine Tomato
49,6078,Organic Blackberries
50,5975,Organic Ginger Root
51,5896,Organic Half & Half
52,5887,Organic Granny Smith Apple
53,5834,Half & Half
54,5768,Organic Unsweetened Almond Milk
55,5676,Broccoli Crown
56,5661,Blueberries
57,5635,Bunched Cilantro
58,5475,Small Hass Avocado
59,5394,Red Onion
60,5326,Jalapeno Peppers
61,5288,Raspberries
62,5268,Organic Lacinato (Dinosaur) Kale
63,5225,Grated Parmesan
64,5204,Extra Virgin Olive Oil
65,5079, Bunch
66,4888,Spring Water
67,4856,Orange Bell Pepper
68,4819,Organic Kiwi
69,4785,Organic D'Anjou Pears
70,4743,Clementines
71,4670,Organic Black Beans
72,4667,Unsweetened Almondmilk
73,4542,Uncured Genoa Salami
74,4447,Roma Tomato
75,4384,Large Alfresco Eggs
76,4376,Lime Sparkling Water
77,4367,Organic Broccoli
78,4261,Shredded Parmesan
79,4204,Milk
80,4200, Bag
81,4183,Feta Cheese Crumbles
82,4136,Organic Reduced Fat 2% Milk
83,4134,Organic Grade A Free Range Large Brown Eggs
84,4064,Organic Carrot Bunch
85,4019,Organic Romaine Lettuce
86,4014,Organic Navel Orange
87,3948,Garlic
88,3930,Grape White/Green Seedless
89,3913,Organic Reduced Fat Milk
90,3858,Hass Avocados
91,3810,Ground Turkey Breast
92,3782,Organic Baby Broccoli
93,3775, Strawberry
94,3733,Organic Russet Potato
95,3712,Organic Broccoli Florets
96,3686,No Salt Added Black Beans
97,3639,Organic Large Brown Grade AA Cage Free Eggs
98,3625,Sharp Cheddar Cheese
99,3619,Unsalted Butter
100,3611,Sparkling Natural Mineral Water
101,3608,Organic Bartlett Pear
102,3607,Organic Garbanzo Beans
103,3605,Green Beans
104,3554,Organic Extra Firm Tofu
105,3474,Unsweetened Original Almond Breeze Almond Milk
106,3421,Organic Whole Strawberries
107,3409,Organic Spring Mix
108,3342,Vanilla Almond Breeze Almond Milk
109,3329,Pure Irish Butter
110,3324,Russet Potato
111,3298,100% Raw Coconut Water
112,3261,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
113,3225,Organic Roasted Turkey Breast
114,3211,Bartlett Pears
115,3197,Yellow Bell Pepper
116,3193,Italian Sparkling Mineral Water
117,3190,Boneless Skinless Chicken Breast
118,3168,Organic Coconut Milk
119,3167,Organic Basil
120,3163,Frozen Organic Wild Blueberries
121,3157,Green Onions
122,3135,Organic Roma Tomato
123,3100,Organic Red Radish
124,3074,Whole Milk
125,3070,Shredded Mild Cheddar Cheese
126,3048,2% Reduced Fat Milk
127,3027,Whipped Cream Cheese
128,2977,Organic Sour Cream
129,2964,Granny Smith Apples
130,2934,Organic White Onions
131,2914,Pineapple Chunks
132,2903,Organic Large Grade AA Brown Eggs
133,2862, Vitamin D
134,2849,Honey Nut Cheerios
135,2835,100% Recycled Paper Towels
136,2799,Sparkling Lemon Water
137,2765,Red Raspberries
138,2760,Organic Romaine
139,2755,Organic Fat Free Milk
140,2745,Total 0% Nonfat Greek Yogurt
141,2740,Total 0% Greek Yogurt
142,2734,Total Greek Strained Yogurt
143,2728,Fat Free Milk
144,2723,Organic Milk
145,2720,Total 2% with Strawberry Lowfat Greek Strained Yogurt
146,2718,Pure Sparkling Water
147,2689,Baby Spinach
148,2669,Romaine Hearts
149,2659,Organic Diced Tomatoes
150,2612,Lightly Salted Baked Snap Pea Crisps
151,2598,Organic Bell Pepper
152,2580,Shredded Mozzarella
153,2572,Organic Hothouse Cucumbers
154,2564,Watermelon Chunks
155,2560,Organic Tomato Paste
156,2555,Cantaloupe
157,2546,Organic Celery Hearts
158,2532,Cherubs Heavenly Salad Tomatoes
159,2516,Brussels Sprouts
160,2509,Fresh Ginger Root
161,2508,Organic Shredded Carrots
162,2498,Organic Spring Mix Salad
163,2497,Unsweetened Vanilla Almond Milk
164,2491,Organic Jalapeno Pepper
165,2463,Yogurt
166,2379,Organic Broccoli Crowns
167,2353,White Corn
168,2345,Organic Low Sodium Chicken Broth
169,2318,Organic Bread with 21 Whole Grains
170,2314,Organic Green Cabbage
171,2313,Original Orange Juice
172,2309,Organic Heavy Whipping Cream
173,2301,Sour Cream
174,2252,Organic Thyme
175,2245,Marinara Sauce
176,2226,Organic Butternut Squash
177,2210,Organic Yams
178,2207,Large Grapefruit
179,2206,Organic Green Seedless Grapes
180,2193,Organic Baby Rainbow Carrots
181,2183,Organic Yellow Peaches
182,2167,Oven Roasted Turkey Breast
183,2156,Gala Apples
184,2149,Organic Egg Whites
185,2143,Organic Mint
186,2142,Organic Frozen Peas
187,2136,Heavy Whipping Cream
188,2125,Organic Large Green Asparagus
189,2120,European Cucumber
190,2109,Organic Old Fashioned Rolled Oats
191,2104,Uncured Hickory Smoked Sunday Bacon
192,2102,Air Chilled Organic Boneless Skinless Chicken Breasts
193,2092,Organic Baby Kale
194,2087,Organic Unsalted Butter
195,2084,Shallot
196,2082,Asparation/Broccolini/Baby Broccoli
197,2081,Mango Chunks
198,2076,YoKids Squeezers Organic Low-Fat Yogurt
199,2067,Creamy Almond Butter
200,2052,Organic Tomato Basil Pasta Sauce
201,2046,Total 2% All Natural Greek Strained Yogurt with Honey
202,2026,Organic Banana
203,2022,Salted Butter
204,2015,Organic Raw Kombucha Gingerade
205,1993,Electrolyte Enhanced Water
206,1990,Sustainably Soft Bath Tissue
207,1985,White Onion
208,1977,Organic Leek
209,1975,Organic Shredded Mozzarella
210,1975,Chicken & Maple Breakfast Sausage
211,1973,Organic Bosc Pear
212,1970,Organic Creamy Peanut Butter
213,1953,Spinach
214,1953,Roasted Turkey Breast
215,1949,Spaghetti
216,1930,Macaroni & Cheese
217,1929,Unsalted Pure Irish Butter
218,1928,Lemonade
219,1926,Ezekiel 4:9 Bread Organic Sprouted Whole Grain
220,1924, 2% Milkfat
221,1914,Bread
222,1907,Hass Avocado
223,1906,Organic Mexican Blend Finely Shredded Cheese
224,1896,Super Greens Salad
225,1876,Basil Pesto
226,1866,Guacamole
227,1854,Corn Tortillas
228,1852,Frozen Broccoli Florets
229,1851,Sourdough Bread
230,1850,Creamy Peanut Butter
231,1840,Total 2% Lowfat Greek Strained Yogurt With Blueberry
232,1839,Organic 2% Reduced Fat Milk
233,1836,Peach Pear Flavored Sparkling Water
234,1817,Organic American Cheese Singles
235,1810,Icelandic Style Skyr Blueberry Non-fat Yogurt
236,1809,Total 2% Lowfat Greek Strained Yogurt with Peach
237,1801,Organic Beef Hot Dogs
238,1800,Vine Ripe Tomatoes
239,1799,Berry Medley
240,1796,Organic Snipped Green Beans
241,1793,Organic AppleApple
242,1790,Total 2% Lowfat Plain Greek Yogurt
243,1775,Roasted Red Pepper Hummus
244,1770,Lemon Hummus
245,1769,Blackberries
246,1767,Organic Spaghetti Squash
247,1766,Organic Grade A Large Brown Eggs
248,1754,Organic Baby Spinach Salad
249,1750,Tilapia Filet
250,1742,Total 2% Greek Strained Yogurt with Cherry 5.3 oz
251,1742,Organic Brown Rice
252,1738,Sweet Onion
253,1733,Original Veggie Straws
254,1733,Globe Eggplant
255,1723,Organic Large Brown Eggs
256,1723,Diced Tomatoes
257,1720,Total 0% Nonfat Plain Greek Yogurt
258,1712,Super Spinach! Baby Spinach
259,1712, Sweet Baby Kale
260,1712, Baby Bok Choy
261,1705,Organic Red Cabbage
262,1704,Pure Coconut Water
263,1696,Original No Pulp 100% Florida Orange Juice
264,1667,Vanilla Skyr Nonfat Yogurt
265,1661,Organic Dill
266,1655,Pretzel Crisps Original Deli Style Pretzel Crackers
267,1648,Organic Iceberg Lettuce
268,1645,Organic Unsweetened Vanilla Almond Milk
269,1641,Goat Cheese Crumbles
270,1628,Tomato Sauce
271,1627,Mild Salsa
272,1622,Organic Lowfat 1% Milk
273,1621,Organic Tomato Sauce
274,1615,Organic Rainbow Carrots
275,1612,Baked Aged White Cheddar Rice and Corn Puffs
276,1606,Organic Extra Large Grade AA Brown Eggs
277,1601,XL Emerald White Seedless Grapes
278,1597,Total 2% All Natural Plain Greek Yogurt
279,1593,Sea Salt Pita Chips
280,1589,Trilogy Kombucha Drink
281,1588,Organic Cheese Frozen Pizza
282,1580,Black Beans
283,1576,Organic Chicken & Apple Sausage
284,1573,Organic Whole Kernel Sweet Corn No Salt Added
285,1570,Natural Spring Water
286,1562,Natural Chicken & Sage Breakfast Sausage
287,1553,Organic Green Leaf Lettuce
288,1548,Organic Large Grade A Brown Eggs
289,1547,Whole Milk Plain Yogurt
290,1547,Tortillas
291,1535,Organic Turkey Bacon
292,1526,Organic Medium Salsa
293,1526,Orange Juice
294,1516,Organic Ketchup
295,1516,Organic Bunch Beets
296,1510,Skim Milk
297,1508,Raisin Bran Cereal
298,1507,Uncured Slow Cooked Ham
299,1501,I Heart Baby Kale
300,1500,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt
301,1493,Strawberry Preserves
302,1492,Oven Roasted Turkey
303,1483,Sugar Snap Peas
304,1483,Distilled Water
305,1479,Crushed Tomatoes
306,1466,2% Reduced Fat Organic Milk
307,1466, Butter
308,1462,Non Fat Raspberry Yogurt
309,1457,Organic Free Range Chicken Broth
310,1455,Kale Greens
311,1452,Sparkling Water Berry
312,1448,English Seedless Cucumber
313,1442,Flat Parsley
314,1431,Bing Cherries
315,1427,2% Reduced Fat DHA Omega-3 Reduced Fat Milk
316,1422,Orange Sparkling Water
317,1422,85% Lean Ground Beef
318,1420, Grade A
319,1419,Cage Free Brown Eggs-Large
320,1418,Toasted Coconut Almondmilk Blend
321,1416,Organic Whole Grain Wheat English Muffins
322,1416, Bibb) Lettuce
323,1412,Sea Salt & Vinegar Potato Chips
324,1411,Organic Honey Sweet Whole Wheat Bread
325,1405,Parsley
326,1405,Organic Fresh Basil
327,1402,Organic Plain Whole Milk Yogurt
328,1400,Organic Nectarine
329,1398,Organic Chicken Broth
330,1394,Organic Salted Butter
331,1393, Gluten Free
332,1392,Organic Romaine Hearts
333,1385,Celery Hearts
334,1383,Mini Original Babybel Cheese
335,1381,Large Yellow Flesh Nectarine
336,1376,Sinfully Sweet Campari Tomatoes
337,1375,Water
338,1369,Iceberg Lettuce
339,1365,1% Lowfat Milk
340,1363,Natural Artesian Water
341,1356,Organic Blue Corn Tortilla Chips
342,1352,Fridge Pack Cola
343,1349,Organic Whole Cashews
344,1348,YoKids Blueberry & Strawberry/Vanilla Yogurt
345,1348,Organic Butterhead (Boston
346,1347,Kids Organic Chocolate Chip ZBars
347,1346,Marinara Pasta Sauce
348,1345,Organic Whole Grassmilk Milk
349,1338,Thin Crust Pepperoni Pizza
350,1338,Chocolate Ice Cream
351,1335,Gluten Free Whole Grain Bread
352,1334,Tortilla Chips
353,1334,Organic Boneless Skinless Chicken Breast
354,1329,Organic Bunny Fruit Snacks Berry Patch
355,1329,Organic 21 Grain Thin Sliced Bread
356,1328,Organic Vegetable Broth
357,1327,Plain Greek Yogurt
358,1327,Organic Baby Kale Mix
359,1325,Cage Free Large White Eggs
360,1324,Large Brown Eggs
361,1323,Italian Extra Virgin Olive Oil
362,1321,Organic Romaine Leaf
363,1321,Organic No Salt Added Diced Tomatoes
364,1321,Green Peas
365,1320,Tomato Paste
366,1318,Fresh Mozzarella Ball
367,1318,Boneless Skinless Chicken Thighs
368,1314,Sliced Black Olives
369,1310,Light Brown Sugar
370,1307,Grade A Large White Eggs
371,1305,Seedless Small Watermelon
372,1305,Organic Whole Wheat Bread
373,1301,Organic Beef Uncured Hot Dogs
374,1299,Original Nooks & Crannies English Muffins
375,1294,Roasted Turkey
376,1293,Organic Roasted Sliced Chicken Breast
377,1291,Organic Original Hommus
378,1288,Taco Seasoning
379,1285,Organic Uncured Sliced Black Forest Ham
380,1284,Almonds & Sea Salt in Dark Chocolate
381,1283,Organic Pinto Beans
382,1282,Organic Whole Milk with DHA Omega-3
383,1282,Baby Arugula
384,1280,Soda
385,1270,Organic Low Sodium Vegetable Broth
386,1269,Original Pure Creamy Almond Milk
387,1265,Hint Of Sea Salt Almond Nut Thins
388,1264,Organic Cauliflower
389,1261,Romaine Lettuce
390,1254,Organic Macaroni Shells & Real Aged Cheddar
391,1253,Crackers Cheddar Bunnies Snack Packs
392,1248,Sparkling Mineral Water
393,1243,Organic Italian Salad
394,1237,Organic Strawberry Smoothie
395,1235,Green Tea With Ginseng and Honey
396,1233,Whole Wheat Bread
397,1233,Pure & Natural Sour Cream
398,1231,Natural Premium Coconut Water
399,1228,Organic Thompson Seedless Raisins
400,1227,Sea Salt Potato Chips
401,1221,Colby Cheese Sticks
402,1219,Organic Chopped Spinach
403,1217,Organic Dijon Mustard
404,1216,Organic 1% Low Fat Milk
405,1215,Organic Red Delicious Apple
406,1215,Organic Cripps Pink Apples
407,1215,Medium Cheddar Cheese Block
408,1209,Vanilla Unsweetened Almond Milk
409,1208,Authentic French Brioche Hamburger Buns
410,1206,Tomato Ketchup
411,1204,Classic Hummus
412,1202,Potato Yukon Gold Organic
413,1200,Mild Cheddar Cheese Sticks
414,1200,Firm Tofu
415,1199,Organic Whipped Naturally Buttery Spread
416,1199,Organic Milk Reduced Fat
417,1193,Organic Orange Bell Pepper
418,1191,Organic Good Seed Bread
419,1190,Organic Sunday Bacon
420,1189,Red Potatoes
421,1189,Organic Chicken Strips
422,1185,Organic Summer Strawberry Bunny Fruit Snacks
423,1183,Whole Almonds
424,1183,Smoked Turkey Breast Slices
425,1181,Organic Yellow Squash
426,1177,Whole Milk Ricotta Cheese
427,1172,Cheddar Bunnies Snack Crackers
428,1168,Organic Vanilla Almond Milk
429,1167,Aged White Cheddar Baked Rice & Corn Puffs Gluten Free Lunch Packs
430,1163,Organic Small Curd Cottage Cheese
431,1162,Organic Red On the Vine Tomato
432,1160,Chopped Walnuts
433,1155,Organic Spinach Bunch
434,1153,Organic Strawberry Fruit Spread
435,1151,Original Hot Sauce
436,1136,Organic Plain Greek Whole Milk Yogurt
437,1135,Organic Red Chard Greens
438,1134, Coconut
439,1124,Organic Riced Cauliflower
440,1123,Collard Greens
441,1122,Organic Rosemary
442,1122,Lime
443,1120,Peach
444,1119, Corn
445,1118, Strained Low-Fat
446,1105,Organic Multigrain Waffles
447,1104,Mandarin Oranges
448,1103,100 Calorie  Per Bag Popcorn
449,1101,Bicolor Sweet Corn
450,1096,Organic Chicken Stock
451,1094,Naturals Chicken Nuggets
452,1093,Organic Sea Salt Roasted Seaweed Snacks
453,1093, Lowfat
454,1091,Coconut Water
455,1087,Original Semisoft Cheese
456,1081,Organic Dark Chocolate Peanut Butter Cups
457,1081,Cream Cheese Spread
458,1079,Pita Chips Simply Naked
459,1078,Whole Strawberries
460,1077,Ginger Ale
461,1075,Grapefruit Sparkling Water
462,1074,Vanilla Pure Almond Milk
463,1074,Organic Apple Juice
464,1073,Penne Rigate
465,1073,Organic Frozen Mango Chunks
466,1067,Vanilla Ice Cream
467,1065,Cereal
468,1064,Organic Mixed Vegetables
469,1064,Boomchickapop Sea Salt Popcorn
470,1062,Large Greenhouse Tomato
471,1061,Organic Extra Large Brown Eggs
472,1059,Supergreens!
473,1059,Organic Extra Virgin Olive Oil
474,1056,Dressing
475,1054,Organic Red Potato
476,1053,Organic Quick Oats
477,1051,Cinnamon Rolls with Icing
478,1051,Basil
479,1051, Jersey Sweet Onion
480,1051, Calorie Free
481,1045,Original Rice Pilaf Mix
482,1043,Sweet Potatoes
483,1042,Organic Sliced Crimini Mushrooms
484,1040,Fresh CA Grown Eggs
485,1038,Honeycrisp Apples
486,1037,Walnut Halves & Pieces
487,1036,Pesto Tortellini  Bowls
488,1034,Grade A Large Eggs Cage Free Omega 3
489,1033,Organic Blueberry Waffles
490,1024,Sonoma Traditional Flour Tortillas 10 Count
491,1023,Organic Medjool Dates
492,1020,Blueberry Yoghurt
493,1019,Organic Sugar Snap Peas
494,1015,Reduced Fat 2% Milk
495,1013,Panko Bread Crumbs
496,1011,Salted Tub of Butter
497,1009,Organic Greek Whole Milk Blended Vanilla Bean Yogurt
498,1008,Raspberry Preserves
499,1008,Organic Whipping Cream
500,1007,Mint
501,1004,Total 0% Raspberry Yogurt
502,1004,Baby Seedless Cucumbers
503,1004, Apple
504,1001,Gold Potato
505,1000,Sparkling Water
506,999,Strawberry Rhubarb Yoghurt
507,999,Macaroni Shells & White Cheddar Cheese
508,998,Unrefined Virgin Coconut Oil
509,998,Orange Calcium & Vitamin D Pulp Free
510,997,Uncured Black Forest Ham
511,995,Alpine Spring Water
512,993,Medium Navel Orange
513,990,Organic Long Grain White Rice
514,990,Organic Braeburn Apple
515,985,Organic Cannellini Beans
516,984,Original Rotisserie Chicken
517,984,Organic Sliced White Mushrooms
518,983,Organic Lite Coconut Milk
519,978,Organic Original Almond Milk
520,975,Provolone
521,974,Organic Vanilla Extract
522,974,All Natural Marinara Sauce
523,969,Spaghetti  No 12
524,968,Reduced Fat Milk
525,966,Organic Large Grade AA Omega-3 Eggs
526,965,Red Leaf Lettuce
527,964,Bunny-Luv Fresh Organic Carrots
528,964,Apple Cinnamon GoGo Squeez
529,962,Organic Sliced Peaches
530,962,Lemon Yogurt
531,962,Aluminum Foil
532,962,90% Lean Ground Beef
533,961,Sliced White Mushrooms
534,961,Crackers
535,960,Honey Yoghurt
536,959,Prosciutto
537,957,Organic Cream Cheese Bar
538,955,ALMONDBREEZE UNSWEETENED
539,954,Nonfat Icelandic Style Strawberry Yogurt
540,953,Corn Chips
541,951,Reduced Fat Milk 100% Lactose Free
542,951,Blood Oranges
543,948,Cheese Pizza Snacks
