,0,1
0,17044,Banana
1,13503,Bag of Organic Bananas
2,10317,Organic Strawberries
3,9264,Organic Baby Spinach
4,7908,Organic Hass Avocado
5,6568,Organic Avocado
6,5239,Large Lemon
7,5085,Organic Raspberries
8,4914,Organic Whole Milk
9,4855,Strawberries
10,4650,Limes
11,3996,Organic Zucchini
12,3845,Organic Yellow Onion
13,3731,Organic Blueberries
14,3664,Cucumber Kirby
15,3609,Organic Garlic
16,3376,Organic Grape Tomatoes
17,3166,Organic Fuji Apple
18,3161,Organic Cucumber
19,3148,Organic Lemon
20,3034,Apple Honeycrisp Organic
21,3031,Organic Baby Carrots
22,2962,Honeycrisp Apple
23,2950,Seedless Red Grapes
24,2816,Organic Gala Apples
25,2776,Michigan Organic Kale
26,2756,Carrots
27,2741,Fresh Cauliflower
28,2671,Organic Large Extra Fancy Fuji Apple
29,2637,Original Hummus
30,2624, Organic
31,2509,Yellow Onions
32,2495,Organic Baby Arugula
33,2483,Asparagus
34,2411,Organic Red Bell Pepper
35,2382,Organic Cilantro
36,2335,Organic Blackberries
37,2324,Organic Red Onion
38,2306,Organic Small Bunch Celery
39,2291,Organic Tomato Cluster
40,2277,Sparkling Water Grapefruit
41,2269,Organic Whole String Cheese
42,2202,Organic Granny Smith Apple
43,2169,Organic Peeled Whole Baby Carrots
44,2166,Organic Unsweetened Almond Milk
45,2155,100% Whole Wheat Bread
46,2119,Red Peppers
47,2081,Green Bell Pepper
48,2065,Organic Kiwi
49,2054,Clementines
50,2010,Raspberries
51,2006,Organic Garnet Sweet Potato (Yam)
52,1996,Blueberries
53,1991,Organic Italian Parsley Bunch
54,1936,Organic Ginger Root
55,1924,Organic Half & Half
56,1902,Boneless Skinless Chicken Breasts
57,1890,Red Vine Tomato
58,1887,Spring Water
59,1854,Half & Half
60,1811,Organic D'Anjou Pears
61,1789,Small Hass Avocado
62,1680,Unsweetened Almondmilk
63,1679, Bunch
64,1678,Extra Virgin Olive Oil
65,1673,Hass Avocados
66,1651,Broccoli Crown
67,1638,Organic Lacinato (Dinosaur) Kale
68,1603,Organic Broccoli
69,1598, Bag
70,1568,Organic Reduced Fat 2% Milk
71,1565,Grated Parmesan
72,1535,Bunched Cilantro
73,1505,Grape White/Green Seedless
74,1476,Organic Black Beans
75,1471,Red Onion
76,1471,Milk
77,1467,Organic Bartlett Pear
78,1447,Roma Tomato
79,1433,Orange Bell Pepper
80,1426,Organic Navel Orange
81,1416,Uncured Genoa Salami
82,1397,Organic Grade A Free Range Large Brown Eggs
83,1378,Garlic
84,1347,100% Raw Coconut Water
85,1344,Jalapeno Peppers
86,1322, Strawberry
87,1318,Large Alfresco Eggs
88,1303,Lime Sparkling Water
89,1302,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
90,1293,Sparkling Natural Mineral Water
91,1293,Organic Reduced Fat Milk
92,1279,Shredded Parmesan
93,1259,Bartlett Pears
94,1256,Organic Romaine Lettuce
95,1252,Organic Extra Firm Tofu
96,1249,Organic Carrot Bunch
97,1233,Organic Baby Broccoli
98,1209,Organic Spring Mix
99,1205,Organic Garbanzo Beans
100,1205,Feta Cheese Crumbles
101,1200,Granny Smith Apples
102,1179,Unsweetened Original Almond Breeze Almond Milk
103,1163,Organic Roma Tomato
104,1143,Organic Broccoli Florets
105,1138,Organic Whole Strawberries
106,1125,Organic Large Brown Grade AA Cage Free Eggs
107,1098,Green Beans
108,1097,2% Reduced Fat Milk
109,1093, Vitamin D
110,1089,Whole Milk
111,1086,No Salt Added Black Beans
112,1080,Unsalted Butter
113,1063,Organic Red Radish
114,1060,Organic Russet Potato
115,1059,Frozen Organic Wild Blueberries
116,1049,Whipped Cream Cheese
117,1043,Organic Roasted Turkey Breast
118,1038,Total 2% with Strawberry Lowfat Greek Strained Yogurt
119,1018,Italian Sparkling Mineral Water
120,1012,Ground Turkey Breast
121,1010,Vanilla Almond Breeze Almond Milk
122,1000,Total 0% Greek Yogurt
123,995,Pineapple Chunks
124,994,Organic Bell Pepper
125,991,Pure Irish Butter
126,984,Total 0% Nonfat Greek Yogurt
127,982,Organic Coconut Milk
128,944,Yogurt
129,938,Fat Free Milk
130,937,Unsweetened Vanilla Almond Milk
131,933,Cantaloupe
132,931,Organic Yams
133,929,Yellow Bell Pepper
134,929,Shredded Mild Cheddar Cheese
135,927,Total Greek Strained Yogurt
136,927,Sharp Cheddar Cheese
137,926,Baby Spinach
138,920,100% Recycled Paper Towels
139,911,Lightly Salted Baked Snap Pea Crisps
140,909,Russet Potato
141,906,Organic Green Seedless Grapes
142,902,Organic Milk
143,902,Brussels Sprouts
144,897,Sparkling Lemon Water
145,896,Organic Fat Free Milk
146,895,Watermelon Chunks
147,889,Organic Bosc Pear
148,883,Green Onions
149,878,Organic Hothouse Cucumbers
150,875,Organic Romaine
151,864,Red Raspberries
152,855,Fresh Ginger Root
153,846,Honey Nut Cheerios
154,843,Organic Large Grade AA Brown Eggs
155,842,Organic Snipped Green Beans
156,838,Pure Sparkling Water
157,838,Organic Basil
158,835,Romaine Hearts
159,826,Organic Yellow Peaches
160,804,Organic Baby Spinach Salad
161,801,Organic Celery Hearts
162,789,Organic Spring Mix Salad
163,787,Organic Broccoli Crowns
164,786,Organic White Onions
165,779,Organic Diced Tomatoes
166,775,Organic Sour Cream
167,771,Total 2% All Natural Greek Strained Yogurt with Honey
168,769,Boneless Skinless Chicken Breast
169,768,Organic Frozen Peas
170,766,Blackberries
171,763,Organic Large Green Asparagus
172,762,Cherubs Heavenly Salad Tomatoes
173,761,Organic Unsalted Butter
174,759,Organic Bread with 21 Whole Grains
175,755,Organic Shredded Carrots
176,755,Gala Apples
177,751,Large Grapefruit
178,750,Oven Roasted Turkey Breast
179,749,Organic Butternut Squash
180,746,Organic Old Fashioned Rolled Oats
181,743,Sweet Onion
182,743,Organic Green Cabbage
183,743,Organic Baby Kale
184,741,Organic Banana
185,735,Mango Chunks
186,733,Marinara Sauce
187,732,Creamy Almond Butter
188,730,YoKids Squeezers Organic Low-Fat Yogurt
189,728,Organic Heavy Whipping Cream
190,727,Shredded Mozzarella
191,722,Organic Tomato Paste
192,717,Vanilla Skyr Nonfat Yogurt
193,716,Total 2% Lowfat Greek Strained Yogurt With Blueberry
194,715,Original Orange Juice
195,713, 2% Milkfat
196,710,Organic Baby Rainbow Carrots
197,703,White Corn
198,696,Chicken & Maple Breakfast Sausage
199,690,European Cucumber
200,689,Organic 2% Reduced Fat Milk
201,687,Electrolyte Enhanced Water
202,682,Organic Mint
203,682,Organic Egg Whites
204,678,Organic American Cheese Singles
205,675,Ezekiel 4:9 Bread Organic Sprouted Whole Grain
206,674,Organic Low Sodium Chicken Broth
207,673,Air Chilled Organic Boneless Skinless Chicken Breasts
208,669,Total 2% Lowfat Greek Strained Yogurt with Peach
209,667,Uncured Hickory Smoked Sunday Bacon
210,667,Organic Jalapeno Pepper
211,665,Roasted Turkey Breast
212,665,Organic Raw Kombucha Gingerade
213,664,Globe Eggplant
214,659,Icelandic Style Skyr Blueberry Non-fat Yogurt
215,652,Organic Creamy Peanut Butter
216,647,Organic Shredded Mozzarella
217,645,Sour Cream
218,644,Pure Coconut Water
219,642,Organic AppleApple
220,640,Organic Tomato Basil Pasta Sauce
221,640,Bread
222,633,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt
223,627,Spinach
224,627,Organic Leek
225,627,Natural Spring Water
226,623,Total 2% Greek Strained Yogurt with Cherry 5.3 oz
227,616,Original No Pulp 100% Florida Orange Juice
228,611,Creamy Peanut Butter
229,610,Peach Pear Flavored Sparkling Water
230,607,XL Emerald White Seedless Grapes
231,606,Organic Mexican Blend Finely Shredded Cheese
232,603,Asparation/Broccolini/Baby Broccoli
233,601,Lemon Hummus
234,600,Large Yellow Flesh Nectarine
235,592,Tilapia Filet
236,592,Sustainably Soft Bath Tissue
237,592,Hass Avocado
238,591,Shallot
239,586,Unsalted Pure Irish Butter
240,585,Raisin Bran Cereal
241,584,Total 2% Lowfat Plain Greek Yogurt
242,583,Lemonade
243,581,Whole Milk Plain Yogurt
244,580,Organic Thyme
245,580,Organic Bunch Beets
246,579,2% Reduced Fat Organic Milk
247,575,Original Veggie Straws
248,574,Basil Pesto
249,573,Mini Original Babybel Cheese
250,573,Macaroni & Cheese
251,571,Organic Grade A Large Brown Eggs
252,563,Roasted Red Pepper Hummus
253,561,Organic Unsweetened Vanilla Almond Milk
254,560,Spaghetti
255,560,Salted Butter
256,560,Non Fat Raspberry Yogurt
257,559,Total 2% All Natural Plain Greek Yogurt
258,558,Organic Whole Grassmilk Milk
259,557,Organic Turkey Bacon
260,556,Organic Red Delicious Apple
261,554,Berry Medley
262,553,Total 0% Nonfat Plain Greek Yogurt
263,550,Organic Nectarine
264,548,Organic Ketchup
265,548,Orange Juice
266,546,Bing Cherries
267,544,Organic Lowfat 1% Milk
268,543,Organic Brown Rice
269,543,Frozen Broccoli Florets
270,535,Sugar Snap Peas
271,532,1% Lowfat Milk
272,531,Organic Spaghetti Squash
273,531,Organic Beef Hot Dogs
274,530,Heavy Whipping Cream
275,523,White Onion
276,523,Super Spinach! Baby Spinach
277,523,Distilled Water
278,523, Sweet Baby Kale
279,523, Baby Bok Choy
280,522,Organic Red Cabbage
281,521,Pretzel Crisps Original Deli Style Pretzel Crackers
282,520,Trilogy Kombucha Drink
283,520,Soda
284,520,Skim Milk
285,519,Sinfully Sweet Campari Tomatoes
286,514,Goat Cheese Crumbles
287,511,Organic Cripps Pink Apples
288,509,Uncured Slow Cooked Ham
289,507,Organic Large Brown Eggs
290,506,Organic Cauliflower
291,505,Organic Salted Butter
292,504,Organic Rainbow Carrots
293,504,Organic Original Hommus
294,500,Plain Greek Yogurt
295,499,YoKids Blueberry & Strawberry/Vanilla Yogurt
296,499,Super Greens Salad
297,498,Organic Whole Milk with DHA Omega-3
298,494,100 Calorie  Per Bag Popcorn
299,493,Organic Whole Kernel Sweet Corn No Salt Added
300,493,Natural Artesian Water
301,493,2% Reduced Fat DHA Omega-3 Reduced Fat Milk
302,491,Water
303,491,Organic Tomato Sauce
304,490,Celery Hearts
305,488,Original Pure Creamy Almond Milk
306,487,Organic Iceberg Lettuce
307,487,I Heart Baby Kale
308,486,Organic Thompson Seedless Raisins
309,486,Organic Dill
310,486,Organic Chicken & Apple Sausage
311,485,Sea Salt Pita Chips
312,484,Baby Cucumbers
313,483,Whole Almonds
314,479,Organic Extra Large Grade AA Brown Eggs
315,477,Colby Cheese Sticks
316,476,Organic Plain Whole Milk Yogurt
317,474,Organic Whole Grain Wheat English Muffins
318,472,Parsley
319,470,Sourdough Bread
320,470, Coconut
321,469,Vine Ripe Tomatoes
322,469,Seedless Small Watermelon
323,469,Organic Yellow Squash
324,468,Natural Chicken & Sage Breakfast Sausage
325,465,Organic Milk Reduced Fat
326,465,English Seedless Cucumber
327,464, Strained Low-Fat
328,463,Apples
329,462,Organic Bunny Fruit Snacks Berry Patch
330,461,Oven Roasted Turkey
331,459,Tortillas
332,458,Organic Cheese Frozen Pizza
333,458,Mild Salsa
334,458,Guacamole
335,457,Strawberry Preserves
336,457,Organic Strawberry Smoothie
337,457,Diced Tomatoes
338,457,Corn Tortillas
339,457, Butter
340,455,Organic Whole Wheat Bread
341,454,Organic Roasted Sliced Chicken Breast
342,454,Organic Medium Salsa
343,452,Organic Summer Strawberry Bunny Fruit Snacks
344,452, Gluten Free
345,450,Organic Whole Cashews
346,449,Gluten Free Whole Grain Bread
347,449, Bibb) Lettuce
348,448,Organic Large Grade A Brown Eggs
349,448,Fridge Pack Cola
350,446,Packaged Grape Tomatoes
351,445,Organic Orange Bell Pepper
352,445,Organic 1% Low Fat Milk
353,445,Coconut Water
354,443,Orange Sparkling Water
355,443,Crackers Cheddar Bunnies Snack Packs
356,440,Sparkling Mineral Water
357,439,Sea Salt & Vinegar Potato Chips
358,439,Kids Organic Chocolate Chip ZBars
359,438,Organic Vegetable Broth
360,436,Organic Spinach Bunch
361,436,Organic Frozen Mango Chunks
362,435,Tomato Sauce
363,434,Toasted Coconut Almondmilk Blend
364,433,Organic Green Leaf Lettuce
365,431,Original Semisoft Cheese
366,431,Organic No Salt Added Diced Tomatoes
367,431,Green Peas
368,430,Organic Butterhead (Boston
369,430,Black Beans
370,429,Chocolate Ice Cream
371,428,Kale Greens
372,427,Sparkling Water Berry
373,427,Italian Extra Virgin Olive Oil
374,427,Baked Aged White Cheddar Rice and Corn Puffs
375,425,Flat Parsley
376,425,Firm Tofu
377,422,Organic Good Seed Bread
378,421,Organic Plain Greek Whole Milk Yogurt
379,420,Smoked Turkey Breast Slices
380,420,Original Nooks & Crannies English Muffins
381,419,Organic Baby Kale Mix
382,418,Peach
