,0,1
0,1349,Banana
1,1285,Bag of Organic Bananas
2,817,Organic Baby Spinach
3,812,Organic Strawberries
4,628,Organic Hass Avocado
5,545,Organic Avocado
6,460,Large Lemon
7,444,Organic Raspberries
8,433,Strawberries
9,398,Limes
10,377,Organic Whole Milk
11,342,Cucumber Kirby
12,341,Organic Zucchini
13,335,Organic Garlic
14,328,Organic Yellow Onion
15,325,Organic Blueberries
16,284,Organic Lemon
17,281,Apple Honeycrisp Organic
18,275,Seedless Red Grapes
19,274,Clementines
20,273,Organic Fuji Apple
21,272,Organic Grape Tomatoes
22,268,Organic Large Extra Fancy Fuji Apple
23,263,Organic Cucumber
24,257,Organic Baby Carrots
25,252,Organic Gala Apples
26,240,Original Hummus
27,239,Carrots
28,236,Organic Cilantro
29,234,Yellow Onions
30,234,Organic Tomato Cluster
31,233,Organic Baby Arugula
32,232, Organic
33,230,Organic Granny Smith Apple
34,228,Fresh Cauliflower
35,225,Michigan Organic Kale
36,217,Honeycrisp Apple
37,213,Organic Small Bunch Celery
38,213,Hass Avocados
39,211,Organic Blackberries
40,204,Sparkling Water Grapefruit
41,203,Organic Red Onion
42,201,Asparagus
43,194,Spring Water
44,193,Organic Kiwi
45,190,Organic Half & Half
46,187,Organic Italian Parsley Bunch
47,184, Bag
48,181,Red Vine Tomato
49,178,Organic Red Bell Pepper
50,178,Organic Ginger Root
51,175,Raspberries
52,172,Organic D'Anjou Pears
53,171, Bunch
54,169,Green Bell Pepper
55,164,Blueberries
56,162,Organic Unsweetened Almond Milk
57,161,100% Whole Wheat Bread
58,160,Red Peppers
59,156,Half & Half
60,154,Organic Peeled Whole Baby Carrots
61,151,100% Raw Coconut Water
62,150,Boneless Skinless Chicken Breasts
63,148,Small Hass Avocado
64,146,Organic Navel Orange
65,139,Organic Garnet Sweet Potato (Yam)
66,139,Orange Bell Pepper
67,139,Extra Virgin Olive Oil
68,137,Organic Grade A Free Range Large Brown Eggs
69,130,Uncured Genoa Salami
70,127,Broccoli Crown
71,126,Roma Tomato
72,126,Organic Reduced Fat 2% Milk
73,126,Garlic
74,125,2% Reduced Fat Milk
75,124,Organic Carrot Bunch
