,0,1
0,36569,Banana
1,28361,Bag of Organic Bananas
2,17827,Organic Strawberries
3,15417,Organic Baby Spinach
4,14124,Organic Hass Avocado
5,11599,Organic Avocado
6,10297,Strawberries
7,10292,Large Lemon
8,9938,Organic Raspberries
9,9236,Organic Whole Milk
10,8472,Organic Fuji Apple
11,8468,Clementines
12,8261,Limes
13,8039,Organic Half & Half
14,7139,Sparkling Water Grapefruit
15,6950,Organic Yellow Onion
16,6712,Half & Half
17,6663,Organic Zucchini
18,6633,Organic Blueberries
19,6553,Apple Honeycrisp Organic
20,6457,Honeycrisp Apple
21,6316,Organic Garlic
22,6275,Seedless Red Grapes
23,6176,Cucumber Kirby
24,6042,Organic Gala Apples
25,5955,Organic Lemon
26,5864,Organic Baby Carrots
27,5668,Organic Large Extra Fancy Fuji Apple
28,5310,Organic Grape Tomatoes
29,5201,Organic Cucumber
30,5064,Original Hummus
31,4859,Raspberries
32,4859,Fresh Cauliflower
33,4842, Organic
34,4724,Organic Whole String Cheese
35,4669,Organic Small Bunch Celery
36,4664,Organic Blackberries
37,4569,Organic Baby Arugula
38,4557,Organic Granny Smith Apple
39,4520,Organic Reduced Fat 2% Milk
40,4423,Carrots
41,4385,Hass Avocados
42,4374,100% Whole Wheat Bread
43,4363,Lime Sparkling Water
44,4317,Asparagus
45,4269,Yellow Onions
46,4163,Michigan Organic Kale
47,4163, Bag
48,4149,Organic Cilantro
49,4116,Organic Red Onion
50,4074,Blueberries
51,4053,Soda
52,4044,Organic Unsweetened Almond Milk
53,4008,Unsweetened Almondmilk
54,3907,Organic Tomato Cluster
55,3887,Organic D'Anjou Pears
56,3842,Granny Smith Apples
57,3802,Organic Peeled Whole Baby Carrots
58,3761,Organic Red Bell Pepper
59,3663,Organic Italian Parsley Bunch
60,3529,Organic Kiwi
61,3488,Small Hass Avocado
62,3486,Bartlett Pears
63,3442,Red Peppers
64,3356,Sparkling Lemon Water
65,3319,Organic Garnet Sweet Potato (Yam)
66,3286,Red Vine Tomato
67,3228,Green Bell Pepper
68,3142,Milk
69,3124,Organic Navel Orange
70,3092,Boneless Skinless Chicken Breasts
71,3079,Spring Water
72,3051,Organic Ginger Root
73,3024,Total 2% with Strawberry Lowfat Greek Strained Yogurt
74,2994,2% Reduced Fat Milk
75,2968,Organic Bartlett Pear
76,2968,Extra Virgin Olive Oil
77,2965,Sparkling Natural Mineral Water
78,2847,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
79,2761,Unsweetened Original Almond Breeze Almond Milk
80,2753,Uncured Genoa Salami
81,2748,Grape White/Green Seedless
82,2744,Organic Broccoli
83,2709,Organic Lacinato (Dinosaur) Kale
84,2664,Broccoli Crown
85,2659,Organic Grade A Free Range Large Brown Eggs
86,2636,Grated Parmesan
87,2624,Pure Sparkling Water
88,2624,Apples
89,2597,Whole Milk
90,2580,Gala Apples
91,2578,Bunched Cilantro
92,2556,100% Raw Coconut Water
93,2554, Bunch
94,2521, Strawberry
95,2508,Orange Bell Pepper
96,2473,Red Onion
97,2450,Large Alfresco Eggs
98,2421,Organic Black Beans
99,2365,Jalapeno Peppers
100,2336,Organic Reduced Fat Milk
101,2322,Total 2% All Natural Greek Strained Yogurt with Honey
102,2316,Whipped Cream Cheese
