,0,1
0,39395,Banana
1,31715,Bag of Organic Bananas
2,21604,Organic Strawberries
3,20598,Organic Baby Spinach
4,18672,Organic Hass Avocado
5,15916,Organic Avocado
6,13228,Large Lemon
7,11664,Strawberries
8,11639,Limes
9,10822,Organic Raspberries
10,10467,Organic Whole Milk
11,9965,Organic Yellow Onion
12,9440,Organic Zucchini
13,9342,Organic Garlic
14,8461,Cucumber Kirby
15,8152,Organic Blueberries
16,7520,Organic Lemon
17,7442,Organic Grape Tomatoes
18,7414,Organic Fuji Apple
19,7217,Apple Honeycrisp Organic
20,7166,Organic Cucumber
21,7005,Sparkling Water Grapefruit
22,6685,Organic Baby Carrots
23,6615,Honeycrisp Apple
24,6568,Seedless Red Grapes
25,6480,Organic Baby Arugula
26,6464,Organic Large Extra Fancy Fuji Apple
27,6405, Organic
28,6399,Yellow Onions
29,6329,Organic Half & Half
30,6328,Fresh Cauliflower
31,6238,Michigan Organic Kale
32,6236,Asparagus
33,6160,Organic Gala Apples
34,6118,Carrots
35,5878,Organic Small Bunch Celery
36,5853,Organic Cilantro
37,5799,Original Hummus
38,5723,Clementines
39,5672,Organic Red Onion
40,5608,Half & Half
41,5457,Organic Tomato Cluster
42,5270,100% Whole Wheat Bread
43,5248,Organic Whole String Cheese
44,5112,Red Peppers
45,5021,Organic Red Bell Pepper
46,4992,Organic Italian Parsley Bunch
47,4854,Organic Peeled Whole Baby Carrots
48,4849,Organic Granny Smith Apple
49,4799,Green Bell Pepper
50,4774,Organic Blackberries
51,4708,Organic Unsweetened Almond Milk
52,4707,Organic Garnet Sweet Potato (Yam)
53,4595,Blueberries
54,4572,Red Vine Tomato
55,4554,Organic Ginger Root
56,4483,Raspberries
57,4476,Boneless Skinless Chicken Breasts
58,4451,Small Hass Avocado
59,4408,Spring Water
60,4378,Unsweetened Almondmilk
61,4225,Lime Sparkling Water
62,4003,Bunched Cilantro
63,3999,Extra Virgin Olive Oil
64,3983,Organic Kiwi
65,3956,Organic Reduced Fat 2% Milk
66,3886,Hass Avocados
67,3850,Organic Lacinato (Dinosaur) Kale
68,3846,Organic D'Anjou Pears
69,3827, Bunch
70,3808,Red Onion
71,3803,Grated Parmesan
72,3707,Broccoli Crown
73,3636,Jalapeno Peppers
74,3624,Organic Black Beans
75,3603,Organic Broccoli
76,3565, Bag
77,3513,Orange Bell Pepper
78,3511,Uncured Genoa Salami
79,3498,Large Alfresco Eggs
80,3496,Sparkling Natural Mineral Water
81,3386,Milk
82,3310,Organic Navel Orange
83,3293,Roma Tomato
84,3261,Organic Grade A Free Range Large Brown Eggs
85,3238,Grape White/Green Seedless
