,0,1
0,13742,Banana
1,10845,Bag of Organic Bananas
2,7654,Organic Strawberries
3,6987,Organic Baby Spinach
4,6236,Organic Hass Avocado
5,5390,Organic Avocado
6,4016,Large Lemon
7,3955,Strawberries
8,3945,Organic Whole Milk
9,3859,Organic Raspberries
10,3651,Limes
11,3041,Organic Blueberries
12,2959,Organic Zucchini
13,2929,Organic Yellow Onion
14,2927,Cucumber Kirby
15,2877,Organic Garlic
16,2545,Organic Grape Tomatoes
17,2505,Organic Lemon
18,2434,Organic Fuji Apple
19,2383,Organic Cucumber
20,2331,Seedless Red Grapes
21,2289,Apple Honeycrisp Organic
22,2274,Organic Baby Carrots
23,2243,Honeycrisp Apple
24,2237, Organic
25,2180,Organic Gala Apples
26,2148,Organic Baby Arugula
27,2145,Carrots
28,2062,Original Hummus
29,2056,Organic Large Extra Fancy Fuji Apple
30,2041,Michigan Organic Kale
31,2035,Fresh Cauliflower
32,1926,Organic Cilantro
33,1925,Organic Tomato Cluster
34,1924,Asparagus
35,1904,Yellow Onions
36,1864,Sparkling Water Grapefruit
37,1858,Organic Small Bunch Celery
38,1832,Organic Blackberries
39,1785,Organic Red Onion
40,1749,100% Whole Wheat Bread
41,1720,Organic Unsweetened Almond Milk
42,1704,Organic Granny Smith Apple
43,1687,Organic Peeled Whole Baby Carrots
44,1684,Spring Water
45,1681,Organic Red Bell Pepper
46,1665,Organic Whole String Cheese
47,1629,Red Peppers
48,1621,Green Bell Pepper
49,1593,Organic Half & Half
50,1589,Organic Kiwi
51,1588,Blueberries
52,1539,Red Vine Tomato
53,1539,Clementines
54,1529,Organic Italian Parsley Bunch
55,1525,Organic Ginger Root
56,1503,Raspberries
57,1485,Extra Virgin Olive Oil
58,1483,Small Hass Avocado
59,1480,Half & Half
60,1469,Organic D'Anjou Pears
61,1446,Organic Garnet Sweet Potato (Yam)
62,1411,Hass Avocados
63,1388,Boneless Skinless Chicken Breasts
64,1385,Unsweetened Almondmilk
65,1309, Bunch
66,1251,Grated Parmesan
67,1235,Milk
68,1234,Organic Lacinato (Dinosaur) Kale
69,1228,Broccoli Crown
70,1214,Organic Navel Orange
71,1213,Organic Grade A Free Range Large Brown Eggs
72,1210,Grape White/Green Seedless
73,1207,Organic Reduced Fat 2% Milk
74,1203,Roma Tomato
75,1199, Bag
76,1192,Bunched Cilantro
77,1185,Organic Bartlett Pear
78,1175,Sparkling Natural Mineral Water
79,1169,100% Raw Coconut Water
80,1148,Uncured Genoa Salami
81,1148, Strawberry
82,1138,Red Onion
83,1117,Orange Bell Pepper
84,1108,Lime Sparkling Water
85,1068,Organic Black Beans
86,1066,Organic Broccoli
87,1065,Jalapeno Peppers
88,1043,Large Alfresco Eggs
89,1040,2% Reduced Fat Milk
90,1027,Organic Reduced Fat Milk
91,1017,Garlic
92,1000,Organic Romaine Lettuce
93,998,Unsalted Butter
94,996,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
95,995,Organic Carrot Bunch
96,990,Whole Milk
97,981,Unsweetened Original Almond Breeze Almond Milk
98,980,Organic Broccoli Florets
99,977,Shredded Parmesan
100,945,Pure Irish Butter
101,932,Organic Baby Broccoli
102,926,Organic Whole Strawberries
103,923,Organic Roma Tomato
104,921,Bartlett Pears
105,917,Frozen Organic Wild Blueberries
106,915,Italian Sparkling Mineral Water
107,906,Feta Cheese Crumbles
108,906, Vitamin D
109,903,Granny Smith Apples
110,901,Vanilla Almond Breeze Almond Milk
111,882,Organic Spring Mix
112,882,Organic Large Brown Grade AA Cage Free Eggs
113,875,Organic Extra Firm Tofu
114,852,Organic Russet Potato
115,838,No Salt Added Black Beans
116,830,Organic Garbanzo Beans
117,824,Organic Roasted Turkey Breast
118,820,Organic Coconut Milk
119,816,Green Beans
120,814,Whipped Cream Cheese
121,803,Fat Free Milk
