Antecedent,Consequent,Confidence,Lift
{' Mega Rolls'},{'Paper Towels Choose-A-Sheet'},1,911.2436548
{'Paper Towels Choose-A-Sheet'},{' Mega Rolls'},1,911.2436548
{' Mega Rolls'},{' One-Ply'},1,911.2436548
{' One-Ply'},{' Mega Rolls'},1,911.2436548
{' One-Ply'},{'Paper Towels Choose-A-Sheet'},1,911.2436548
{'Paper Towels Choose-A-Sheet'},{' One-Ply'},1,911.2436548
{' Mega Rolls'},"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",1,911.2436548
{' One-Ply'},"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",1,911.2436548
{'Paper Towels Choose-A-Sheet'},"{' Mega Rolls', ' One-Ply'}",1,911.2436548
"{' Mega Rolls', ' One-Ply'}",{'Paper Towels Choose-A-Sheet'},1,911.2436548
"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",{' One-Ply'},1,911.2436548
"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",{' Mega Rolls'},1,911.2436548
{' Toffee & Almonds in Milk Chocolate'},{'Bar'},1,863.0528846
{'Bar'},{' Toffee & Almonds in Milk Chocolate'},1,863.0528846
{' Carrots and Parsnips Puree'},{'Organic Apples'},1,838.8551402
{'Organic Apples'},{' Carrots and Parsnips Puree'},0.873831776,838.8551402
{' Deliciously Hydrating Watermelon Water'},{'Cold-pressed'},1,831.087963
{'Cold-pressed'},{' Deliciously Hydrating Watermelon Water'},1,831.087963
{' Sprouted Corn'},{' Wheat Free'},1,823.4633028
{' Wheat Free'},{' Sprouted Corn'},1,823.4633028
{' Sprouted Corn'},"{'Tortillas', ' Wheat Free'}",1,823.4633028
{' Wheat Free'},"{'Tortillas', ' Sprouted Corn'}",1,823.4633028
"{'Tortillas', ' Sprouted Corn'}",{' Wheat Free'},1,823.4633028
"{'Tortillas', ' Wheat Free'}",{' Sprouted Corn'},1,823.4633028
{' Mexican Kitchen Style'},"{'Tortilla Chips', ' Salted'}",1,823.4633028
"{'Tortilla Chips', ' Salted'}",{' Mexican Kitchen Style'},1,823.4633028
{'Country Stand Juice'},{' Medium Pulp'},1,819.7031963
{' Medium Pulp'},{'Country Stand Juice'},1,819.7031963
{' Mexican Kitchen Style'},{' Salted'},1,812.2850679
"{' Mexican Kitchen Style', 'Tortilla Chips'}",{' Salted'},1,812.2850679
{' Salted'},{' Mexican Kitchen Style'},0.986425339,812.2850679
{' Salted'},"{' Mexican Kitchen Style', 'Tortilla Chips'}",0.986425339,812.2850679
{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},{' 50% Less Sugar & Calories'},1,754.2647059
{' 50% Less Sugar & Calories'},{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},1,754.2647059
{' Three Cheese'},{'Pizza Poppers'},1,744.8755187
{'Pizza Poppers'},{' Three Cheese'},1,744.8755187
{' Take & Bake'},{'French Baguettes'},1,741.7975207
{'French Baguettes'},{' Take & Bake'},1,741.7975207
{' Twin Pack'},{' Take & Bake'},1,741.7975207
{' Take & Bake'},{' Twin Pack'},1,741.7975207
{' Twin Pack'},{'French Baguettes'},1,741.7975207
{'French Baguettes'},{' Twin Pack'},1,741.7975207
{' Take & Bake'},"{' Twin Pack', 'French Baguettes'}",1,741.7975207
{' Twin Pack'},"{' Take & Bake', 'French Baguettes'}",1,741.7975207
{'French Baguettes'},"{' Twin Pack', ' Take & Bake'}",1,741.7975207
"{' Twin Pack', ' Take & Bake'}",{'French Baguettes'},1,741.7975207
"{' Take & Bake', 'French Baguettes'}",{' Twin Pack'},1,741.7975207
"{' Twin Pack', 'French Baguettes'}",{' Take & Bake'},1,741.7975207
{'Wild Non-Pareil Capers'},{' Sunkissed in the Mediterranean'},1,718.06
{' Sunkissed in the Mediterranean'},{'Wild Non-Pareil Capers'},1,718.06
{'Deli Fresh Honey Ham'},"{' Gluten Free', ' 97% Fat Free'}",1,703.9803922
{' Roja'},"{' Hot', 'Salsa'}",1,703.9803922
"{' Hot', 'Salsa'}",{' Roja'},0.996078431,703.9803922
"{' Gluten Free', ' 97% Fat Free'}",{'Deli Fresh Honey Ham'},0.77254902,703.9803922
{'Deli Fresh Honey Ham'},{' 97% Fat Free'},1,695.7945736
"{' Gluten Free', 'Deli Fresh Honey Ham'}",{' 97% Fat Free'},1,695.7945736
{' 97% Fat Free'},{'Deli Fresh Honey Ham'},0.763565891,695.7945736
{' 97% Fat Free'},"{' Gluten Free', 'Deli Fresh Honey Ham'}",0.763565891,695.7945736
{' Aged Parmesan and Romano Cheeses Three Cheese Tortellini'},{'Freshly Made. Filled with Creamy Ricotta'},1,674.8684211
{'Freshly Made. Filled with Creamy Ricotta'},{' Aged Parmesan and Romano Cheeses Three Cheese Tortellini'},0.740601504,674.8684211
{'Sweeet Potato'},{' Carrot & Cinnamon Organic Superfoods'},1,667.3420074
{' Carrot & Cinnamon Organic Superfoods'},{'Sweeet Potato'},1,667.3420074
{'Sweeet Potato'},"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",1,667.3420074
{' Carrot & Cinnamon Organic Superfoods'},"{'Sweeet Potato', ' Apple'}",1,667.3420074
"{'Sweeet Potato', ' Apple'}",{' Carrot & Cinnamon Organic Superfoods'},1,667.3420074
"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",{'Sweeet Potato'},1,667.3420074
{'Happy Baby Spinach'},{' and Pear Baby Food'},1,648.0685921
{' and Pear Baby Food'},{'Happy Baby Spinach'},1,648.0685921
{'Happy Baby Spinach'},"{' Mango', ' and Pear Baby Food'}",1,648.0685921
{' and Pear Baby Food'},"{'Happy Baby Spinach', ' Mango'}",1,648.0685921
"{'Happy Baby Spinach', ' Mango'}",{' and Pear Baby Food'},1,648.0685921
"{' Mango', ' and Pear Baby Food'}",{'Happy Baby Spinach'},1,648.0685921
{' Jalapeno Lime'},{' Clasico'},1,643.4229391
{' Jalapeno Lime'},"{'Tortilla Chips', ' Clasico'}",1,643.4229391
"{'Tortilla Chips', ' Jalapeno Lime'}",{' Clasico'},1,643.4229391
{' Clasico'},{' Jalapeno Lime'},0.870967742,643.4229391
{' Clasico'},"{'Tortilla Chips', ' Jalapeno Lime'}",0.870967742,643.4229391
"{'Tortilla Chips', ' Clasico'}",{' Jalapeno Lime'},0.870967742,643.4229391
{'Happy Baby Spinach'},{' Mango'},1,629.877193
{' and Pear Baby Food'},{' Mango'},1,629.877193
"{'Happy Baby Spinach', ' and Pear Baby Food'}",{' Mango'},1,629.877193
{' Mango'},{'Happy Baby Spinach'},0.971929825,629.877193
{' Mango'},{' and Pear Baby Food'},0.971929825,629.877193
{' Mango'},"{'Happy Baby Spinach', ' and Pear Baby Food'}",0.971929825,629.877193
"{' Organic', ' Kalamata'}","{'Olives', ' Pitted'}",1,619.0172414
"{'Olives', ' Pitted'}","{' Organic', ' Kalamata'}",1,619.0172414
"{'Olives', ' Pitted'}",{' Kalamata'},1,616.8900344
"{' Kalamata', ' Pitted'}","{' Organic', 'Olives'}",1,616.8900344
"{' Organic', 'Olives', ' Pitted'}",{' Kalamata'},1,616.8900344
{' Kalamata'},"{'Olives', ' Pitted'}",0.996563574,616.8900344
{' Kalamata'},"{' Organic', 'Olives', ' Pitted'}",0.996563574,616.8900344
"{' Organic', 'Olives'}","{' Kalamata', ' Pitted'}",0.996563574,616.8900344
{' Kalamata'},"{' Organic', 'Olives'}",0.996563574,614.7701373
"{' Organic', 'Olives'}",{' Kalamata'},0.996563574,614.7701373
{'Baked Rice and Corn Puffs'},{' Aged White Cheddar'},1,604.4276094
{' Aged White Cheddar'},{'Baked Rice and Corn Puffs'},0.851851852,604.4276094
{'Ginger Root Beer'},{' Naturally Flavored Zero Calorie Soda'},1,596.3953488
{'Ginger Root Beer'},"{' Naturally Flavored Zero Calorie Soda', ' Caffeine Free'}",1,596.3953488
"{' Caffeine Free', 'Ginger Root Beer'}",{' Naturally Flavored Zero Calorie Soda'},1,596.3953488
{' Naturally Flavored Zero Calorie Soda'},{'Ginger Root Beer'},0.750830565,596.3953488
{' Naturally Flavored Zero Calorie Soda'},"{' Caffeine Free', 'Ginger Root Beer'}",0.750830565,596.3953488
