Antecedent,Consequent,Confidence,Lift
{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},{' 50% Less Sugar & Calories'},1,976.8874172
{' 50% Less Sugar & Calories'},{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},1,976.8874172
{' Mega Rolls'},{'Paper Towels Choose-A-Sheet'},1,939.5541401
{'Paper Towels Choose-A-Sheet'},{' Mega Rolls'},1,939.5541401
{' Mega Rolls'},{' One-Ply'},1,939.5541401
{' One-Ply'},{' Mega Rolls'},1,939.5541401
{' One-Ply'},{'Paper Towels Choose-A-Sheet'},1,939.5541401
{'Paper Towels Choose-A-Sheet'},{' One-Ply'},1,939.5541401
{' Mega Rolls'},"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",1,939.5541401
{' One-Ply'},"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",1,939.5541401
{'Paper Towels Choose-A-Sheet'},"{' Mega Rolls', ' One-Ply'}",1,939.5541401
"{' Mega Rolls', ' One-Ply'}",{'Paper Towels Choose-A-Sheet'},1,939.5541401
"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",{' One-Ply'},1,939.5541401
"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",{' Mega Rolls'},1,939.5541401
{' Red Hot Blues'},"{'Tortilla Chips', ' Corn'}",1,862.6315789
"{'Tortilla Chips', ' Corn'}",{' Red Hot Blues'},0.938596491,862.6315789
{'Sweeet Potato'},{' Carrot & Cinnamon Organic Superfoods'},1,847.7586207
{' Carrot & Cinnamon Organic Superfoods'},{'Sweeet Potato'},1,847.7586207
{'Sweeet Potato'},"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",1,847.7586207
{' Carrot & Cinnamon Organic Superfoods'},"{'Sweeet Potato', ' Apple'}",1,847.7586207
"{'Sweeet Potato', ' Apple'}",{' Carrot & Cinnamon Organic Superfoods'},1,847.7586207
"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",{'Sweeet Potato'},1,847.7586207
{' Spinach & Cheese'},{'Ravioli'},1,812.7272727
{'Ravioli'},{' Spinach & Cheese'},0.840220386,812.7272727
{' Sprouted Corn'},{' Wheat Free'},1,806.0655738
{' Wheat Free'},{' Sprouted Corn'},1,806.0655738
{' Sprouted Corn'},"{'Tortillas', ' Wheat Free'}",1,806.0655738
{' Wheat Free'},"{'Tortillas', ' Sprouted Corn'}",1,806.0655738
"{'Tortillas', ' Sprouted Corn'}",{' Wheat Free'},1,806.0655738
"{'Tortillas', ' Wheat Free'}",{' Sprouted Corn'},1,806.0655738
{'Wild Non-Pareil Capers'},{' Sunkissed in the Mediterranean'},1,778.4168865
{' Sunkissed in the Mediterranean'},{'Wild Non-Pareil Capers'},1,778.4168865
{' Three Cheese'},{'Pizza Poppers'},1,770.2872063
{'Pizza Poppers'},{' Three Cheese'},1,770.2872063
{'Happy Baby Spinach'},{' and Pear Baby Food'},1,745
{' and Pear Baby Food'},{'Happy Baby Spinach'},1,745
{'Happy Baby Spinach'},"{' Mango', ' and Pear Baby Food'}",1,745
{' and Pear Baby Food'},"{'Happy Baby Spinach', ' Mango'}",1,745
"{'Happy Baby Spinach', ' Mango'}",{' and Pear Baby Food'},1,745
"{' Mango', ' and Pear Baby Food'}",{'Happy Baby Spinach'},1,745
{' Toffee & Almonds in Milk Chocolate'},{'Bar'},1,743.1234257
{'Bar'},{' Toffee & Almonds in Milk Chocolate'},1,743.1234257
{' Roja'},"{' Hot', 'Salsa'}",1,741.2562814
"{' Hot', 'Salsa'}",{' Roja'},0.974874372,741.2562814
{' Deliciously Hydrating Watermelon Water'},{'Cold-pressed'},1,730.2475248
{'Cold-pressed'},{' Deliciously Hydrating Watermelon Water'},1,730.2475248
{' Take & Bake'},{'French Baguettes'},1,728.4444444
{'French Baguettes'},{' Take & Bake'},1,728.4444444
{' Twin Pack'},{' Take & Bake'},1,728.4444444
{' Take & Bake'},{' Twin Pack'},1,728.4444444
{' Twin Pack'},{'French Baguettes'},1,728.4444444
{'French Baguettes'},{' Twin Pack'},1,728.4444444
{' Take & Bake'},"{' Twin Pack', 'French Baguettes'}",1,728.4444444
{' Twin Pack'},"{' Take & Bake', 'French Baguettes'}",1,728.4444444
{'French Baguettes'},"{' Twin Pack', ' Take & Bake'}",1,728.4444444
"{' Twin Pack', ' Take & Bake'}",{'French Baguettes'},1,728.4444444
"{' Take & Bake', 'French Baguettes'}",{' Twin Pack'},1,728.4444444
"{' Twin Pack', 'French Baguettes'}",{' Take & Bake'},1,728.4444444
{'Deli Fresh Honey Ham'},"{' Gluten Free', ' 97% Fat Free'}",1,721.3202934
{'Happy Baby Spinach'},{' Mango'},1,721.3202934
{' and Pear Baby Food'},{' Mango'},1,721.3202934
"{'Happy Baby Spinach', ' and Pear Baby Food'}",{' Mango'},1,721.3202934
{' Mango'},{'Happy Baby Spinach'},0.968215159,721.3202934
{' Mango'},{' and Pear Baby Food'},0.968215159,721.3202934
{' Mango'},"{'Happy Baby Spinach', ' and Pear Baby Food'}",0.968215159,721.3202934
"{' Gluten Free', ' 97% Fat Free'}",{'Deli Fresh Honey Ham'},0.767726161,721.3202934
{' Mexican Kitchen Style'},"{'Tortilla Chips', ' Salted'}",1,717.810219
"{'Tortilla Chips', ' Salted'}",{' Mexican Kitchen Style'},1,717.810219
{' Mexican Kitchen Style'},{' Salted'},1,712.6086957
"{' Mexican Kitchen Style', 'Tortilla Chips'}",{' Salted'},1,712.6086957
{' Salted'},{' Mexican Kitchen Style'},0.992753623,712.6086957
{' Salted'},"{' Mexican Kitchen Style', 'Tortilla Chips'}",0.992753623,712.6086957
{'Country Stand Juice'},{' Medium Pulp'},1,709.1826923
{' Medium Pulp'},{'Country Stand Juice'},1,709.1826923
{'Baked Rice and Corn Puffs'},{' Aged White Cheddar'},1,705.7894737
{' Aged White Cheddar'},{'Baked Rice and Corn Puffs'},0.887559809,705.7894737
{' Chocolate Chip Walnut'},{'Cookies'},1,694.1647059
{'Cookies'},{' Chocolate Chip Walnut'},0.727058824,694.1647059
{' Aged Parmesan and Romano Cheeses Three Cheese Tortellini'},{'Freshly Made. Filled with Creamy Ricotta'},1,692.5352113
{'Freshly Made. Filled with Creamy Ricotta'},{' Aged Parmesan and Romano Cheeses Three Cheese Tortellini'},0.741784038,692.5352113
{'Deli Fresh Honey Ham'},{' 97% Fat Free'},1,689.2990654
"{' Gluten Free', 'Deli Fresh Honey Ham'}",{' 97% Fat Free'},1,689.2990654
{' 97% Fat Free'},{'Deli Fresh Honey Ham'},0.73364486,689.2990654
