Antecedent,Consequent,Confidence,Lift
{' and Kale Teething Wafers'},{'Little Yums Spinach'},1,964.3461538
{'Little Yums Spinach'},{' and Kale Teething Wafers'},1,964.3461538
{' and Kale Teething Wafers'},"{' Apple', 'Little Yums Spinach'}",1,964.3461538
{'Little Yums Spinach'},"{' Apple', ' and Kale Teething Wafers'}",1,964.3461538
"{' Apple', ' and Kale Teething Wafers'}",{'Little Yums Spinach'},1,964.3461538
"{' Apple', 'Little Yums Spinach'}",{' and Kale Teething Wafers'},1,964.3461538
{'Cherries & Almonds in Dark Chocolate'},{' 55% Cocoa'},1,955.1619048
{' 55% Cocoa'},{'Cherries & Almonds in Dark Chocolate'},1,955.1619048
{' Sprouted Corn'},{' Wheat Free'},1,937.3084112
{' Wheat Free'},{' Sprouted Corn'},1,937.3084112
{' Sprouted Corn'},"{'Tortillas', ' Wheat Free'}",1,937.3084112
{' Wheat Free'},"{'Tortillas', ' Sprouted Corn'}",1,937.3084112
"{'Tortillas', ' Sprouted Corn'}",{' Wheat Free'},1,937.3084112
"{'Tortillas', ' Wheat Free'}",{' Sprouted Corn'},1,937.3084112
{'Mighty 4 Sweet Potato'},{' Millet & Greek Yogurt Tots Snack'},1,920.1100917
{' Millet & Greek Yogurt Tots Snack'},{'Mighty 4 Sweet Potato'},1,920.1100917
{'Mighty 4 Sweet Potato'},"{' Millet & Greek Yogurt Tots Snack', ' Blueberry'}",1,920.1100917
{' Millet & Greek Yogurt Tots Snack'},"{'Mighty 4 Sweet Potato', ' Blueberry'}",1,920.1100917
"{'Mighty 4 Sweet Potato', ' Blueberry'}",{' Millet & Greek Yogurt Tots Snack'},1,920.1100917
"{' Millet & Greek Yogurt Tots Snack', ' Blueberry'}",{'Mighty 4 Sweet Potato'},1,920.1100917
{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},{' 50% Less Sugar & Calories'},1,887.539823
{' 50% Less Sugar & Calories'},{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},1,887.539823
{'Wild Non-Pareil Capers'},{' Sunkissed in the Mediterranean'},1,828.8595041
{' Sunkissed in the Mediterranean'},{'Wild Non-Pareil Capers'},1,828.8595041
{'Sweeet Potato'},{' Carrot & Cinnamon Organic Superfoods'},1,822.0655738
{' Carrot & Cinnamon Organic Superfoods'},{'Sweeet Potato'},1,822.0655738
{'Sweeet Potato'},"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",1,822.0655738
{' Carrot & Cinnamon Organic Superfoods'},"{'Sweeet Potato', ' Apple'}",1,822.0655738
"{'Sweeet Potato', ' Apple'}",{' Carrot & Cinnamon Organic Superfoods'},1,822.0655738
"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",{'Sweeet Potato'},1,822.0655738
{'Country Stand Juice'},{' Medium Pulp'},1,808.8064516
{' Medium Pulp'},{'Country Stand Juice'},1,808.8064516
{' No Sugar'},{'Uncured'},1,795.968254
{'Uncured'},{' No Sugar'},1,795.968254
{' No Sugar'},{' Hickory Smoked Bacon'},1,795.968254
{' Hickory Smoked Bacon'},{' No Sugar'},1,795.968254
{'Uncured'},{' Hickory Smoked Bacon'},1,795.968254
{' Hickory Smoked Bacon'},{'Uncured'},1,795.968254
{' No Sugar'},"{'Uncured', ' Hickory Smoked Bacon'}",1,795.968254
{'Uncured'},"{' No Sugar', ' Hickory Smoked Bacon'}",1,795.968254
{' Hickory Smoked Bacon'},"{' No Sugar', 'Uncured'}",1,795.968254
"{' No Sugar', 'Uncured'}",{' Hickory Smoked Bacon'},1,795.968254
"{' No Sugar', ' Hickory Smoked Bacon'}",{'Uncured'},1,795.968254
"{'Uncured', ' Hickory Smoked Bacon'}",{' No Sugar'},1,795.968254
{' Roja'},"{' Hot', 'Salsa'}",1,771.4769231
"{' Hot', 'Salsa'}",{' Roja'},0.969230769,771.4769231
{' Spinach & Cheese'},{'Ravioli'},1,759.7878788
{'Ravioli'},{' Spinach & Cheese'},0.939393939,759.7878788
{' Carrots and Parsnips Puree'},{'Organic Apples'},1,726.7536232
{' Kalamata'},"{'Olives', ' Pitted'}",1,726.7536232
"{'Olives', ' Pitted'}",{' Kalamata'},1,726.7536232
{' Kalamata'},"{' Organic', 'Olives', ' Pitted'}",1,726.7536232
"{' Organic', 'Olives'}","{' Kalamata', ' Pitted'}",1,726.7536232
"{' Organic', ' Kalamata'}","{'Olives', ' Pitted'}",1,726.7536232
"{'Olives', ' Pitted'}","{' Organic', ' Kalamata'}",1,726.7536232
"{' Kalamata', ' Pitted'}","{' Organic', 'Olives'}",1,726.7536232
"{' Organic', 'Olives', ' Pitted'}",{' Kalamata'},1,726.7536232
{' Kalamata'},"{' Organic', 'Olives'}",1,726.7536232
"{' Organic', 'Olives'}",{' Kalamata'},1,726.7536232
{'Organic Apples'},{' Carrots and Parsnips Puree'},0.847826087,726.7536232
{' Aged Parmesan and Romano Cheeses Three Cheese Tortellini'},{'Freshly Made. Filled with Creamy Ricotta'},1,716.3714286
{'Freshly Made. Filled with Creamy Ricotta'},{' Aged Parmesan and Romano Cheeses Three Cheese Tortellini'},0.735714286,716.3714286
{' Kalamata'},"{' Organic', ' Pitted'}",1,711.2907801
"{'Olives', ' Kalamata'}","{' Organic', ' Pitted'}",1,711.2907801
"{' Organic', ' Pitted'}",{' Kalamata'},0.978723404,711.2907801
"{' Organic', ' Pitted'}","{'Olives', ' Kalamata'}",0.978723404,711.2907801
{' Kalamata'},{' Pitted'},1,686.9315068
"{' Organic', ' Kalamata'}",{' Pitted'},1,686.9315068
"{'Olives', ' Kalamata'}",{' Pitted'},1,686.9315068
"{' Organic', 'Olives', ' Kalamata'}",{' Pitted'},1,686.9315068
{' Toffee & Almonds in Milk Chocolate'},{'Bar'},1,686.9315068
{'Bar'},{' Toffee & Almonds in Milk Chocolate'},1,686.9315068
"{' Organic', 'Olives'}",{' Pitted'},1,686.9315068
{' Pitted'},{' Kalamata'},0.945205479,686.9315068
{' Pitted'},"{' Organic', ' Kalamata'}",0.945205479,686.9315068
{' Pitted'},"{'Olives', ' Kalamata'}",0.945205479,686.9315068
{' Pitted'},"{' Organic', 'Olives', ' Kalamata'}",0.945205479,686.9315068
{' Pitted'},"{' Organic', 'Olives'}",0.945205479,686.9315068
{' Chocolate Chip Walnut'},{'Cookies'},1,659.8157895
{'Cookies'},{' Chocolate Chip Walnut'},0.717105263,659.8157895
{'Baked Rice and Corn Puffs'},{' Aged White Cheddar'},1,651.2467532
{' Aged White Cheddar'},{'Baked Rice and Corn Puffs'},0.909090909,651.2467532
{' Jalapeno Lime'},{' Clasico'},1,638.8025478
{' Jalapeno Lime'},"{'Tortilla Chips', ' Clasico'}",1,638.8025478
"{'Tortilla Chips', ' Jalapeno Lime'}",{' Clasico'},1,638.8025478
{'Muffins'},{' Flax'},1,638.8025478
{' Flax'},{'Muffins'},1,638.8025478
{' Clasico'},{' Jalapeno Lime'},0.885350318,638.8025478
{' Clasico'},"{'Tortilla Chips', ' Jalapeno Lime'}",0.885350318,638.8025478
"{'Tortilla Chips', ' Clasico'}",{' Jalapeno Lime'},0.885350318,638.8025478
"{' Roja', 'Salsa'}",{' Hot'},1,634.7594937
{' Roja'},{' Hot'},1,634.7594937
{' Hot'},"{' Roja', 'Salsa'}",0.797468354,634.7594937
{' Hot'},{' Roja'},0.797468354,634.7594937
{' Super Premium'},{'Ice Cream'},1,626.825
{'Ice Cream'},{' Super Premium'},0.63125,626.825
{' Deliciously Hydrating Watermelon Water'},{'Cold-pressed'},1,622.931677
{'Cold-pressed'},{' Deliciously Hydrating Watermelon Water'},1,622.931677
{' Simply Naked'},{'Pita Chips'},1,611.5365854
{'Pita Chips'},{' Simply Naked'},0.993902439,611.5365854
{'Happy Baby Spinach'},{' and Pear Baby Food'},1,576.3908046
{' and Pear Baby Food'},{'Happy Baby Spinach'},1,576.3908046
{'Happy Baby Spinach'},"{' Mango', ' and Pear Baby Food'}",1,576.3908046
{' and Pear Baby Food'},"{'Happy Baby Spinach', ' Mango'}",1,576.3908046
"{'Happy Baby Spinach', ' Mango'}",{' and Pear Baby Food'},1,576.3908046
"{' Mango', ' and Pear Baby Food'}",{'Happy Baby Spinach'},1,576.3908046
{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins'},"{' White', 'Select-A-Size Paper Towels'}",1,566.6214689
"{' White', 'Select-A-Size Paper Towels'}",{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins'},0.790960452,566.6214689
{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins'},{'Select-A-Size Paper Towels'},1,551.0549451
"{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins', ' White'}",{'Select-A-Size Paper Towels'},1,551.0549451
{'Select-A-Size Paper Towels'},{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins'},0.769230769,551.0549451
{'Select-A-Size Paper Towels'},"{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins', ' White'}",0.769230769,551.0549451
{' Kalamata'},{'Olives'},1,548.0437158
"{' Kalamata', ' Pitted'}",{'Olives'},1,548.0437158
"{' Organic', ' Kalamata', ' Pitted'}",{'Olives'},1,548.0437158
"{' Organic', ' Kalamata'}",{'Olives'},1,548.0437158
{'Olives'},{' Kalamata'},0.754098361,548.0437158
{'Olives'},"{' Kalamata', ' Pitted'}",0.754098361,548.0437158
{'Olives'},"{' Organic', ' Kalamata', ' Pitted'}",0.754098361,548.0437158
{'Olives'},"{' Organic', ' Kalamata'}",0.754098361,548.0437158
{'Mighty 4 Sweet Potato'},{' Blueberry'},1,542.1189189
"{'Mighty 4 Sweet Potato', ' Millet & Greek Yogurt Tots Snack'}",{' Blueberry'},1,542.1189189
{' Millet & Greek Yogurt Tots Snack'},{' Blueberry'},1,542.1189189
{' Blueberry'},{'Mighty 4 Sweet Potato'},0.589189189,542.1189189
{' Blueberry'},"{'Mighty 4 Sweet Potato', ' Millet & Greek Yogurt Tots Snack'}",0.589189189,542.1189189
{' Blueberry'},{' Millet & Greek Yogurt Tots Snack'},0.589189189,542.1189189
"{' Organic', ' Pitted'}",{'Olives'},0.978723404,536.3832113
{'Olives'},"{' Organic', ' Pitted'}",0.754098361,536.3832113
{' Roja'},{'Salsa'},1,533.4680851
"{' Roja', ' Hot'}",{'Salsa'},1,533.4680851
{'Happy Baby Spinach'},{' Mango'},1,533.4680851
{' and Pear Baby Food'},{' Mango'},1,533.4680851
"{'Happy Baby Spinach', ' and Pear Baby Food'}",{' Mango'},1,533.4680851
{'Salsa'},{' Roja'},0.670212766,533.4680851
{'Salsa'},"{' Roja', ' Hot'}",0.670212766,533.4680851
{' Mango'},{'Happy Baby Spinach'},0.925531915,533.4680851
{' Mango'},{' and Pear Baby Food'},0.925531915,533.4680851
{' Mango'},"{'Happy Baby Spinach', ' and Pear Baby Food'}",0.925531915,533.4680851
{' Pitted'},{'Olives'},0.945205479,518.0139232
{'Olives'},{' Pitted'},0.754098361,518.0139232
"{' Citrus', 'Kombucha'}",{' Organic Raw'},1,511.6938776
{' Organic Raw'},"{' Citrus', 'Kombucha'}",0.714285714,511.6938776
{' Citrus'},"{' Organic Raw', 'Kombucha'}",0.992907801,510.6703037
"{' Organic Raw', 'Kombucha'}",{' Citrus'},0.717948718,510.6703037
{' Citrus'},{' Organic Raw'},0.992907801,508.064843
{' Organic Raw'},{' Citrus'},0.714285714,508.064843
{'Ginger Root Beer'},{' Naturally Flavored Zero Calorie Soda'},1,506.5252525
{'Ginger Root Beer'},"{' Naturally Flavored Zero Calorie Soda', ' Caffeine Free'}",1,506.5252525
"{' Caffeine Free', 'Ginger Root Beer'}",{' Naturally Flavored Zero Calorie Soda'},1,506.5252525
{' Naturally Flavored Zero Calorie Soda'},{'Ginger Root Beer'},0.757575758,506.5252525
{' Naturally Flavored Zero Calorie Soda'},"{' Caffeine Free', 'Ginger Root Beer'}",0.757575758,506.5252525
"{' Naturally Flavored Zero Calorie Soda', ' Caffeine Free'}",{'Ginger Root Beer'},0.757575758,506.5252525
"{' Citrus', ' Organic Raw'}",{'Kombucha'},1,494.0492611
{'Kombucha'},"{' Citrus', ' Organic Raw'}",0.689655172,494.0492611
{' Organic Raw'},{'Kombucha'},0.994897959,491.5286016
{'Kombucha'},{' Organic Raw'},0.960591133,491.5286016
{' Citrus'},{'Kombucha'},0.992907801,490.5453656
{'Kombucha'},{' Citrus'},0.689655172,490.5453656
{' Original Recipe'},{' Hope'},1,473.0754717
{' Hope'},{' Original Recipe'},1,473.0754717
{' Original Recipe'},"{' Hope', 'Hummus'}",1,473.0754717
{' Hope'},"{' Original Recipe', 'Hummus'}",1,473.0754717
"{' Original Recipe', 'Hummus'}",{' Hope'},1,473.0754717
"{' Hope', 'Hummus'}",{' Original Recipe'},1,473.0754717
{' Whole Peeled'},{'Tomatoes'},1,451.7657658
{'Tomatoes'},{' Whole Peeled'},0.743243243,451.7657658
{'Ginger Root Beer'},{' Caffeine Free'},1,441.814978
"{' Naturally Flavored Zero Calorie Soda', 'Ginger Root Beer'}",{' Caffeine Free'},1,441.814978
{' Naturally Flavored Zero Calorie Soda'},{' Caffeine Free'},1,441.814978
{' Peas and Broccoli Puree Stage 1'},{'Organic Pears'},1,441.814978
{'Organic Pears'},{' Peas and Broccoli Puree Stage 1'},0.933920705,441.814978
{' Caffeine Free'},{' Naturally Flavored Zero Calorie Soda'},0.872246696,441.814978
{' Caffeine Free'},{'Ginger Root Beer'},0.660792952,441.814978
{' Caffeine Free'},"{' Naturally Flavored Zero Calorie Soda', 'Ginger Root Beer'}",0.660792952,441.814978
{' Hot'},{'Salsa'},0.82278481,438.9294371
{'Salsa'},{' Hot'},0.691489362,438.9294371
{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins'},{' White'},1,416.1493776
"{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins', 'Select-A-Size Paper Towels'}",{' White'},1,416.1493776
{'Crispy Wheat'},{' Crackers'},1,416.1493776
{' Crackers'},{'Crispy Wheat'},1,416.1493776
{' White'},{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins'},0.580912863,416.1493776
{' White'},"{' 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins', 'Select-A-Size Paper Towels'}",0.580912863,416.1493776
{'Select-A-Size Paper Towels'},{' White'},0.972527473,404.7167024
{' White'},{'Select-A-Size Paper Towels'},0.734439834,404.7167024
{' Reduced Fat'},"{'Milk', ' 2% Milkfat'}",0.995575221,372.5680227
"{'Milk', ' 2% Milkfat'}",{' Reduced Fat'},0.839552239,372.5680227
{' Jersey Sweet Onion'},{' Calorie Free'},1,360.7625899
{' Calorie Free'},{' Jersey Sweet Onion'},1,360.7625899
{' Jersey Sweet Onion'},"{' Calorie Free', 'Dressing'}",1,360.7625899
{' Calorie Free'},"{' Jersey Sweet Onion', 'Dressing'}",1,360.7625899
"{' Jersey Sweet Onion', 'Dressing'}",{' Calorie Free'},1,360.7625899
"{' Calorie Free', 'Dressing'}",{' Jersey Sweet Onion'},1,360.7625899
{' Jersey Sweet Onion'},{'Dressing'},1,359.4695341
{' Calorie Free'},{'Dressing'},1,359.4695341
"{' Jersey Sweet Onion', ' Calorie Free'}",{'Dressing'},1,359.4695341
{'Dressing'},{' Jersey Sweet Onion'},0.996415771,359.4695341
{'Dressing'},{' Calorie Free'},0.996415771,359.4695341
{'Dressing'},"{' Jersey Sweet Onion', ' Calorie Free'}",0.996415771,359.4695341
{'Almondmilk Creamer'},{' Vanilla'},1,358.1857143
{' Vanilla'},{'Almondmilk Creamer'},0.639285714,358.1857143
{' Hope'},{'Hummus'},1,341.1292517
{' Original Recipe'},{'Hummus'},1,341.1292517
"{' Original Recipe', ' Hope'}",{'Hummus'},1,341.1292517
{'Hummus'},{' Hope'},0.721088435,341.1292517
{'Hummus'},{' Original Recipe'},0.721088435,341.1292517
{'Hummus'},"{' Original Recipe', ' Hope'}",0.721088435,341.1292517
{' Italian (Flat)'},"{'Parsley', ' New England Grown'}",1,329.9078947
"{'Parsley', ' New England Grown'}",{' Italian (Flat)'},1,329.9078947
{' Americano'},{'Prosciutto'},1,321.4487179
{'Prosciutto'},{' Americano'},0.477564103,321.4487179
{' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'},"{'Juice Beverage', ' Cold Pressed'}",1,318.3873016
"{'Juice Beverage', ' Cold Pressed'}",{' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'},1,318.3873016
{' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'},{' Cold Pressed'},1,315.3836478
"{'Juice Beverage', ' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'}",{' Cold Pressed'},1,315.3836478
{' Cold Pressed'},{' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'},0.990566038,315.3836478
{' Cold Pressed'},"{'Juice Beverage', ' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'}",0.990566038,315.3836478
{' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'},{'Juice Beverage'},1,313.4125
"{' Cold Pressed', ' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'}",{'Juice Beverage'},1,313.4125
{'Juice Beverage'},{' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'},0.984375,313.4125
{'Juice Beverage'},"{' Cold Pressed', ' Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon'}",0.984375,313.4125
{' Cold Pressed'},{'Juice Beverage'},0.990566038,310.4557783
{'Juice Beverage'},{' Cold Pressed'},0.984375,310.4557783
{' Italian (Flat)'},{' New England Grown'},1,304.8389058
"{'Parsley', ' Italian (Flat)'}",{' New England Grown'},1,304.8389058
{' New England Grown'},{' Italian (Flat)'},0.924012158,304.8389058
