Antecedent,Consequent,Confidence,Lift
{' Take & Bake'},{'French Baguettes'},1,957.6
{'French Baguettes'},{' Take & Bake'},1,957.6
{' Twin Pack'},{' Take & Bake'},1,957.6
{' Take & Bake'},{' Twin Pack'},1,957.6
{' Twin Pack'},{'French Baguettes'},1,957.6
{'French Baguettes'},{' Twin Pack'},1,957.6
{' Take & Bake'},"{' Twin Pack', 'French Baguettes'}",1,957.6
{' Twin Pack'},"{' Take & Bake', 'French Baguettes'}",1,957.6
{'French Baguettes'},"{' Twin Pack', ' Take & Bake'}",1,957.6
"{' Twin Pack', ' Take & Bake'}",{'French Baguettes'},1,957.6
"{' Take & Bake', 'French Baguettes'}",{' Twin Pack'},1,957.6
"{' Twin Pack', 'French Baguettes'}",{' Take & Bake'},1,957.6
{' High'},{' White Chocolate'},1,957.6
{' White Chocolate'},{' High'},1,957.6
{' High'},"{'Protein Bar', ' White Chocolate'}",1,957.6
{' White Chocolate'},"{' High', 'Protein Bar'}",1,957.6
"{' High', 'Protein Bar'}",{' White Chocolate'},1,957.6
"{'Protein Bar', ' White Chocolate'}",{' High'},1,957.6
{' Mega Rolls'},{'Paper Towels Choose-A-Sheet'},1,957.6
{'Paper Towels Choose-A-Sheet'},{' Mega Rolls'},1,957.6
{' Mega Rolls'},{' One-Ply'},1,957.6
{' One-Ply'},{' Mega Rolls'},1,957.6
{' One-Ply'},{'Paper Towels Choose-A-Sheet'},1,957.6
{'Paper Towels Choose-A-Sheet'},{' One-Ply'},1,957.6
{' Mega Rolls'},"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",1,957.6
{' One-Ply'},"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",1,957.6
{'Paper Towels Choose-A-Sheet'},"{' Mega Rolls', ' One-Ply'}",1,957.6
"{' Mega Rolls', ' One-Ply'}",{'Paper Towels Choose-A-Sheet'},1,957.6
"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",{' One-Ply'},1,957.6
"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",{' Mega Rolls'},1,957.6
{' Hand'},{'Honest Face'},1,957.6
{'Honest Face'},{' Hand'},1,957.6
{' Hand'},{' & Baby Wipes'},1,957.6
{' & Baby Wipes'},{' Hand'},1,957.6
{'Honest Face'},{' & Baby Wipes'},1,957.6
{' & Baby Wipes'},{'Honest Face'},1,957.6
{' Hand'},"{'Honest Face', ' & Baby Wipes'}",1,957.6
{'Honest Face'},"{' Hand', ' & Baby Wipes'}",1,957.6
{' & Baby Wipes'},"{' Hand', 'Honest Face'}",1,957.6
"{' Hand', 'Honest Face'}",{' & Baby Wipes'},1,957.6
"{' Hand', ' & Baby Wipes'}",{'Honest Face'},1,957.6
"{'Honest Face', ' & Baby Wipes'}",{' Hand'},1,957.6
{'Light'},{' Very Vanilla'},1,957.6
{' Very Vanilla'},{'Light'},1,957.6
{' Peas and Broccoli Puree Stage 1'},{'Organic Pears'},1,870.5454545
{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},{' 50% Less Sugar & Calories'},1,870.5454545
{' 50% Less Sugar & Calories'},{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},1,870.5454545
{' Jalapeno Lime'},{' Clasico'},1,870.5454545
{' Clasico'},{' Jalapeno Lime'},1,870.5454545
{' Jalapeno Lime'},"{'Tortilla Chips', ' Clasico'}",1,870.5454545
{' Clasico'},"{'Tortilla Chips', ' Jalapeno Lime'}",1,870.5454545
"{'Tortilla Chips', ' Jalapeno Lime'}",{' Clasico'},1,870.5454545
"{'Tortilla Chips', ' Clasico'}",{' Jalapeno Lime'},1,870.5454545
{'Organic Pears'},{' Peas and Broccoli Puree Stage 1'},0.909090909,870.5454545
{' Chocolate Chip Walnut'},{'Cookies'},1,798
{'Cookies'},{' Chocolate Chip Walnut'},0.833333333,798
{'Macrobar Prolonged Powder Banana + Almond Butter'},"{'Sweet Rejuvenation Cashew Butter Macrobar', 'Peanut Butter Chocolate Chip Macrobar'}",0.909090909,791.4049587
"{'Sweet Rejuvenation Cashew Butter Macrobar', 'Peanut Butter Chocolate Chip Macrobar'}",{'Macrobar Prolonged Powder Banana + Almond Butter'},0.909090909,791.4049587
"{'Macrobar Prolonged Powder Banana + Almond Butter', 'Peanut Butter Chocolate Chip Macrobar'}",{'Sweet Rejuvenation Cashew Butter Macrobar'},1,736.6153846
{'Macrobar Prolonged Powder Banana + Almond Butter'},{'Sweet Rejuvenation Cashew Butter Macrobar'},1,736.6153846
{' Sprouted Corn'},{' Wheat Free'},1,736.6153846
{' Wheat Free'},{' Sprouted Corn'},1,736.6153846
{' Sprouted Corn'},"{'Tortillas', ' Wheat Free'}",1,736.6153846
{' Wheat Free'},"{'Tortillas', ' Sprouted Corn'}",1,736.6153846
"{'Tortillas', ' Sprouted Corn'}",{' Wheat Free'},1,736.6153846
"{'Tortillas', ' Wheat Free'}",{' Sprouted Corn'},1,736.6153846
{'Muffins'},{' Flax'},1,736.6153846
{' Flax'},{'Muffins'},1,736.6153846
{'Sweet Rejuvenation Cashew Butter Macrobar'},{'Macrobar Prolonged Powder Banana + Almond Butter'},0.846153846,736.6153846
{'Sweet Rejuvenation Cashew Butter Macrobar'},"{'Macrobar Prolonged Powder Banana + Almond Butter', 'Peanut Butter Chocolate Chip Macrobar'}",0.769230769,736.6153846
{' Original Recipe'},{' Hope'},1,684
{' Hope'},{' Original Recipe'},1,684
{' Original Recipe'},"{' Hope', 'Hummus'}",1,684
{' Hope'},"{' Original Recipe', 'Hummus'}",1,684
"{' Original Recipe', 'Hummus'}",{' Hope'},1,684
"{' Hope', 'Hummus'}",{' Original Recipe'},1,684
{'Country Stand Juice'},{' Medium Pulp'},1,684
{' Medium Pulp'},{'Country Stand Juice'},1,684
{' Almond + Cranberry'},{'Turkey Bar'},1,684
{'Turkey Bar'},{' Almond + Cranberry'},1,684
{' No Sugar'},{'Uncured'},1,684
{'Uncured'},{' No Sugar'},1,684
{' No Sugar'},{' Hickory Smoked Bacon'},1,684
{' Hickory Smoked Bacon'},{' No Sugar'},1,684
{'Uncured'},{' Hickory Smoked Bacon'},1,684
{' Hickory Smoked Bacon'},{'Uncured'},1,684
{' No Sugar'},"{'Uncured', ' Hickory Smoked Bacon'}",1,684
{'Uncured'},"{' No Sugar', ' Hickory Smoked Bacon'}",1,684
{' Hickory Smoked Bacon'},"{' No Sugar', 'Uncured'}",1,684
"{' No Sugar', 'Uncured'}",{' Hickory Smoked Bacon'},1,684
"{' No Sugar', ' Hickory Smoked Bacon'}",{'Uncured'},1,684
"{'Uncured', ' Hickory Smoked Bacon'}",{' No Sugar'},1,684
{'Club Delight Sausage'},{' & Cheese Sandwiches'},1,684
{' & Cheese Sandwiches'},{'Club Delight Sausage'},1,684
