Antecedent,Consequent,Confidence,Lift
{' Kalamata'},"{'Olives', ' Pitted'}",1,979.2731481
"{'Olives', ' Pitted'}",{' Kalamata'},1,979.2731481
{' Kalamata'},"{' Organic', 'Olives', ' Pitted'}",1,979.2731481
"{' Organic', ' Kalamata'}","{'Olives', ' Pitted'}",1,979.2731481
"{'Olives', ' Pitted'}","{' Organic', ' Kalamata'}",1,979.2731481
"{' Organic', 'Olives', ' Pitted'}",{' Kalamata'},1,979.2731481
"{' Kalamata', ' Pitted'}","{' Organic', 'Olives'}",1,970.2889908
{' Kalamata'},"{' Organic', 'Olives'}",1,970.2889908
"{' Organic', 'Olives'}","{' Kalamata', ' Pitted'}",0.990825688,970.2889908
"{' Organic', 'Olives'}",{' Kalamata'},0.990825688,970.2889908
{'Sweeet Potato'},{' Carrot & Cinnamon Organic Superfoods'},1,965.8584475
{' Carrot & Cinnamon Organic Superfoods'},{'Sweeet Potato'},1,965.8584475
{'Sweeet Potato'},"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",1,965.8584475
{' Carrot & Cinnamon Organic Superfoods'},"{'Sweeet Potato', ' Apple'}",1,965.8584475
"{'Sweeet Potato', ' Apple'}",{' Carrot & Cinnamon Organic Superfoods'},1,965.8584475
"{' Apple', ' Carrot & Cinnamon Organic Superfoods'}",{'Sweeet Potato'},1,965.8584475
{' Mega Rolls'},{'Paper Towels Choose-A-Sheet'},1,935.9424779
{'Paper Towels Choose-A-Sheet'},{' Mega Rolls'},1,935.9424779
{' Mega Rolls'},{' One-Ply'},1,935.9424779
{' One-Ply'},{' Mega Rolls'},1,935.9424779
{' One-Ply'},{'Paper Towels Choose-A-Sheet'},1,935.9424779
{'Paper Towels Choose-A-Sheet'},{' One-Ply'},1,935.9424779
{' Mega Rolls'},"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",1,935.9424779
{' One-Ply'},"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",1,935.9424779
{'Paper Towels Choose-A-Sheet'},"{' Mega Rolls', ' One-Ply'}",1,935.9424779
"{' Mega Rolls', ' One-Ply'}",{'Paper Towels Choose-A-Sheet'},1,935.9424779
"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",{' One-Ply'},1,935.9424779
"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",{' Mega Rolls'},1,935.9424779
