Antecedent,Consequent,Confidence,Lift
{' Three Cheese'},{'Pizza Poppers'},1,946.8165468
{'Pizza Poppers'},{' Three Cheese'},1,946.8165468
{' Mega Rolls'},{'Paper Towels Choose-A-Sheet'},1,946.8165468
{'Paper Towels Choose-A-Sheet'},{' Mega Rolls'},1,946.8165468
{' Mega Rolls'},{' One-Ply'},1,946.8165468
{' One-Ply'},{' Mega Rolls'},1,946.8165468
{' One-Ply'},{'Paper Towels Choose-A-Sheet'},1,946.8165468
{'Paper Towels Choose-A-Sheet'},{' One-Ply'},1,946.8165468
{' Mega Rolls'},"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",1,946.8165468
{' One-Ply'},"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",1,946.8165468
{'Paper Towels Choose-A-Sheet'},"{' Mega Rolls', ' One-Ply'}",1,946.8165468
"{' Mega Rolls', ' One-Ply'}",{'Paper Towels Choose-A-Sheet'},1,946.8165468
"{' Mega Rolls', 'Paper Towels Choose-A-Sheet'}",{' One-Ply'},1,946.8165468
"{' One-Ply', 'Paper Towels Choose-A-Sheet'}",{' Mega Rolls'},1,946.8165468
{' Take & Bake'},{'French Baguettes'},1,898.3447099
{'French Baguettes'},{' Take & Bake'},1,898.3447099
{' Twin Pack'},{' Take & Bake'},1,898.3447099
{' Take & Bake'},{' Twin Pack'},1,898.3447099
{' Twin Pack'},{'French Baguettes'},1,898.3447099
{'French Baguettes'},{' Twin Pack'},1,898.3447099
{' Take & Bake'},"{' Twin Pack', 'French Baguettes'}",1,898.3447099
{' Twin Pack'},"{' Take & Bake', 'French Baguettes'}",1,898.3447099
{'French Baguettes'},"{' Twin Pack', ' Take & Bake'}",1,898.3447099
"{' Twin Pack', ' Take & Bake'}",{'French Baguettes'},1,898.3447099
"{' Take & Bake', 'French Baguettes'}",{' Twin Pack'},1,898.3447099
"{' Twin Pack', 'French Baguettes'}",{' Take & Bake'},1,898.3447099
{' Sprouted Corn'},{' Wheat Free'},1,886.2457912
