Antecedent,Consequent,Confidence,Lift
{' Celery'},{' Romaine'},1,979.393617
{' Romaine'},{' Celery'},1,979.393617
{' Celery'},"{' Cucumber', ' Romaine'}",1,979.393617
{' Romaine'},"{' Celery', ' Cucumber'}",1,979.393617
"{' Celery', ' Cucumber'}",{' Romaine'},1,979.393617
"{' Cucumber', ' Romaine'}",{' Celery'},1,979.393617
{' Celery'},"{' Apple', ' Cucumber', ' Romaine'}",1,979.393617
{' Romaine'},"{' Celery', ' Apple', ' Cucumber'}",1,979.393617
"{' Celery', ' Apple'}","{' Cucumber', ' Romaine'}",1,979.393617
"{' Celery', ' Cucumber'}","{' Apple', ' Romaine'}",1,979.393617
"{' Apple', ' Romaine'}","{' Celery', ' Cucumber'}",1,979.393617
"{' Cucumber', ' Romaine'}","{' Apple', ' Celery'}",1,979.393617
"{' Celery', ' Apple', ' Cucumber'}",{' Romaine'},1,979.393617
"{' Apple', ' Cucumber', ' Romaine'}",{' Celery'},1,979.393617
{' Celery'},"{' Apple', ' Romaine'}",1,979.393617
{' Romaine'},"{' Celery', ' Apple'}",1,979.393617
"{' Celery', ' Apple'}",{' Romaine'},1,979.393617
"{' Apple', ' Romaine'}",{' Celery'},1,979.393617
{' Romaine'},{' Cucumber'},1,969.0842105
{' Romaine'},"{' Apple', ' Cucumber'}",1,969.0842105
"{' Apple', ' Romaine'}",{' Cucumber'},1,969.0842105
"{' Celery', ' Romaine'}",{' Cucumber'},1,969.0842105
"{' Celery', ' Romaine'}","{' Apple', ' Cucumber'}",1,969.0842105
"{' Celery', ' Apple', ' Romaine'}",{' Cucumber'},1,969.0842105
{' Celery'},{' Cucumber'},1,969.0842105
{' Celery'},"{' Apple', ' Cucumber'}",1,969.0842105
"{' Celery', ' Apple'}",{' Cucumber'},1,969.0842105
{' Cucumber'},{' Romaine'},0.989473684,969.0842105
{' Cucumber'},"{' Apple', ' Romaine'}",0.989473684,969.0842105
"{' Apple', ' Cucumber'}",{' Romaine'},0.989473684,969.0842105
{' Cucumber'},"{' Celery', ' Romaine'}",0.989473684,969.0842105
{' Cucumber'},"{' Celery', ' Apple', ' Romaine'}",0.989473684,969.0842105
"{' Apple', ' Cucumber'}","{' Celery', ' Romaine'}",0.989473684,969.0842105
{' Cucumber'},{' Celery'},0.989473684,969.0842105
{' Cucumber'},"{' Celery', ' Apple'}",0.989473684,969.0842105
"{' Apple', ' Cucumber'}",{' Celery'},0.989473684,969.0842105
{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},{' 50% Less Sugar & Calories'},1,949.1030928
{' 50% Less Sugar & Calories'},{'Trop50 No Pulp Orange Juice w/ Calcium + Vitamin D'},1,949.1030928
{' Sprouted Corn'},{' Wheat Free'},1,929.9292929
{' Wheat Free'},{' Sprouted Corn'},1,929.9292929
{' Sprouted Corn'},"{'Tortillas', ' Wheat Free'}",1,929.9292929
{' Wheat Free'},"{'Tortillas', ' Sprouted Corn'}",1,929.9292929
"{'Tortillas', ' Sprouted Corn'}",{' Wheat Free'},1,929.9292929
"{'Tortillas', ' Wheat Free'}",{' Sprouted Corn'},1,929.9292929
{'Wild Non-Pareil Capers'},{' Sunkissed in the Mediterranean'},1,893.815534
{' Sunkissed in the Mediterranean'},{'Wild Non-Pareil Capers'},1,893.815534
{' Three Cheese'},{'Pizza Poppers'},1,893.815534
